batch,index,music,hashtag,author,likes,comments,shares,saves
1,0,original sound - Prospering,,jprospering,324800,1394,25700,3451
1,1,original sound - ABKYS,,aubreykeeyyysss,30300,1337,1121,120
1,2,original sound - RĮÅH 👾,"fortnite, fortnitememes, fortniteclips, fyp, fyp%E3%82%B7, funny, fortnitechapter5, fortniteunderground",icesqu1d5,2400000,33700,241400,82500
2,0,original sound - Prospering,,jprospering,324800,1394,25700,3451
2,1,original sound - ABKYS,,aubreykeeyyysss,30300,1337,1122,120
2,2,original sound - RĮÅH 👾,"fortnite, fortnitememes, fortniteclips, fyp, fyp%E3%82%B7, funny, fortnitechapter5, fortniteunderground",icesqu1d5,2400000,33700,241400,82500
3,0,original sound - Prospering,,jprospering,324800,1394,25700,3451
3,1,original sound - ABKYS,,aubreykeeyyysss,30300,1337,1121,120
3,2,original sound - RĮÅH 👾,"fortnite, fortnitememes, fortniteclips, fyp, fyp%E3%82%B7, funny, fortnitechapter5, fortniteunderground",icesqu1d5,2400000,33700,241400,82500
4,0,original sound - Prospering,,jprospering,324800,1394,25700,3451
4,1,original sound - ABKYS,,aubreykeeyyysss,30300,1337,1121,120
4,2,original sound - RĮÅH 👾,"fortnite, fortnitememes, fortniteclips, fyp, fyp%E3%82%B7, funny, fortnitechapter5, fortniteunderground",icesqu1d5,2400000,33700,241400,82500
5,0,original sound - Prospering,,jprospering,324800,1394,25700,3451
5,1,original sound - ABKYS,,aubreykeeyyysss,30300,1337,1121,120
5,2,original sound - RĮÅH 👾,"fortnite, fortnitememes, fortniteclips, fyp, fyp%E3%82%B7, funny, fortnitechapter5, fortniteunderground",icesqu1d5,2400000,33700,241400,82500
1,0,original sound - QUEEN_ZOE,"educationalpurposes%F0%9F%98%8A%E2%9D%A4%EF%B8%8F, newontiktokers, newtiktokers, light4198",light4198,31900,43300,2674,7902
1,1,original sound - JUAN GZ,"prank, college, coldapproach, rizz, pickupline",thatwasepic_shorts,428200,3785,39200,2832
1,2,original sound - Dayquan & Arianna,"prankonboyfriend, piercingprank, fakenippiercing",dayandari,218900,632,14700,957
1,3,jennifers body ringtone - ligington,"fyp, foryoupage, relatable, trending, viralvideo, fortnite",sparkledfn,407600,5273,47800,7121
1,4,Love songs - ⭐️,,sna_couple_,55900,1092,6216,2977
1,5,original sound - TheBoyDilly,"@._._._._cryptxz._._._._, fortnitecreative, theboydilly, gogoated",theboydilly,226000,5021,109900,6252
1,6,original sound - lotus,"lotus, lotuscars",lotusnorthjersey,53100,812,3845,334
1,7,som original - Keira,,keirariff,2300000,17100,153900,27000
1,8,original sound - Jed Hockin,viral,jedhockin,220400,42300,58400,10100
1,9,snowfall - Øneheart & reidenshi,,itsyaboyryantang,182500,1450,30400,1810
1,10,son original - emo_wow😈,"@ajiboska, bs2, bs, bronxside2, robloxhoodgame, roblox, robloxgang, robloxbronx, robloxbronxrp",emo_wow,9452,141,2870,344
1,11,original sound - riley mae,"interview, streetinterview, tiktokchallenge, challenge, viralchallenge",rileymae,5491,36,529,35
2,0,original sound - QUEEN_ZOE,"educationalpurposes%F0%9F%98%8A%E2%9D%A4%EF%B8%8F, newontiktokers, newtiktokers, light4198",light4198,31900,43300,2675,7902
2,1,original sound - JUAN GZ,"prank, college, coldapproach, rizz, pickupline",thatwasepic_shorts,428200,3785,39200,2832
2,2,original sound - Dayquan & Arianna,"prankonboyfriend, piercingprank, fakenippiercing",dayandari,218900,632,14700,957
2,3,jennifers body ringtone - ligington,"fyp, foryoupage, relatable, trending, viralvideo, fortnite",sparkledfn,407600,5273,47800,7121
2,4,Love songs - ⭐️,,sna_couple_,55900,1092,6216,2977
2,5,original sound - TheBoyDilly,"@._._._._cryptxz._._._._, fortnitecreative, theboydilly, gogoated",theboydilly,226000,5021,109900,6252
2,6,original sound - lotus,"lotus, lotuscars",lotusnorthjersey,53100,812,3845,334
2,7,som original - Keira,,keirariff,2300000,17100,153900,27000
2,8,original sound - Jed Hockin,viral,jedhockin,220400,42300,58400,10100
2,9,snowfall - Øneheart & reidenshi,,itsyaboyryantang,182500,1450,30400,1810
2,10,son original - emo_wow😈,"@ajiboska, bs2, bs, bronxside2, robloxhoodgame, roblox, robloxgang, robloxbronx, robloxbronxrp",emo_wow,9452,141,2871,344
