batch,index,music,hashtag,author,likes,comments,shares,saves
1,0,Rich gang - Sufferryanyt,,b.e.n_rl,206800,5767,16200,6795
1,1,original sound - Force_Effects,"crime, theft, gift, giftcards, store, christmas, criminal, thief, saftey, security",force_effects,694400,15100,71800,129000
1,2,original sound - active <3,fyp%E3%82%B7,tina_042,346300,4097,19100,946
1,3,Summer party (20 seconds) - TimTaj,"chocolate, ferrerorocher, sweet",bestsecretmunch,50400,787,24200,3123
1,4,Monkeys Spinning Monkeys - Kevin MacLeod & Kevin The Monkey,"@khayemalpjr1, americanaccent, africanaccent, fyp%E3%82%B7, fyp, accentchallenge",proxyrod,94200,1445,9391,5838
1,5,original sound - The YUH Family,"couples, girlfriend, boyfriend, sister, sisters, siblings, couplescomedy, familytime",yuhfamjosh,68400,115,6421,89
1,6,original sound - Core Cell,"core, corecore, mentalhealth, fyp",coreceii,371900,4485,47700,2136
1,7,Magnetic Field 396 Hz - Yotam Agam,wisespade7,plmatter,95700,805,7652,2188
2,0,original sound - Mindful Core,"corecore, coretok, sadcore, mentalhealth",mindful.core,146000,971,27800,1477
2,1,TRANSGENDER (PEARL WHITE VIP) - PEARL WHITE,"supernatural, sobrenatural, spn, spndsi, palhaco",spndsi,246900,2312,34400,1771
2,2,original sound - StinkyAsher,,lexibrookerivera,1200000,2387,61700,5852
2,3,One Dance - Modelscut,capcut,lex19217,0,0,0,0
2,4,original sound - Bigeanderin,"challenges, passthephonechallenge, family",thebigefamily,141100,1484,11100,1207
2,5,original sound - MissKimDance,"teachervsstudent, misskims, tap, weeklydancechallenge, dancers, dancersoftiktok, misskimschallenge",misskimdance,4,0,0,0
2,6,original sound - Tristian Jones,"fyp, foryou, zyxcba, capcut",darkdogs1999,5,0,0,0
2,7,original sound - MindsetMaveric,fyp,alexashabs,157,63,4,1
2,8,sonido original - halo,"diamantblazi, seckoff, basketballplayer, floridabasketball, florida, usa, usabasketball, dunk, explore, explorepage, foryou, fyp, pourtoi, viral, lifestyle, trend",diamantblazi,238600,1770,14500,2066
2,9,original sound - CertifiedJio,"fyp, hairtok, certifiedjio, braids",certifiedjio,359200,2242,19900,445
2,10,Face Dance - Funny Tok,"arnezj, arnezjcomedy, childhoodmemories, standup, standupcomedy, funny, fyp",laughheals,31800,1325,3376,5914
2,11,original sound - zxrswd,"kaicenat, fyp, viral, twitch, foryou, fyp%E3%82%B7",zxrswd,83400,2824,8392,34300
2,12,original sound - Dre & Lay,@melz_cryb4by,andrebourgeixx,43300,1240,2901,117
2,13,original sound - anyaforgerpovs,"povseries, satisfying, usa%F0%9F%87%BA%F0%9F%87%B8, diy, fyp, craft, foryou, fyp%E3%82%B7",anyaforgerpovs,14600,4603,5066,1341
2,14,original sound - Geena Fontanella,"@markellwashington1, letitsnow, letitsnow%E2%9D%84%EF%B8%8F, hoodjingles, fyp, sing, singing",geenafontanella,65300,348,14200,879
2,15,sunet original - LukeDidThat,,lukedidthat.com,78500,794,6580,682
2,16,original sound - Archie,"meme, funny, fyp, sleepover, memes",archiewichall,335700,2279,41000,8503
2,17,original sound - beasuser,,matthewsieverin,53800,716,12300,268
2,18,Asn - thsituan._.,,yk.quotezz_,36400,285,3345,93
2,19,original sound - not your favorite biker,"fyp, viral, bordercrisis, kennyboyinthe608, notyourfavoritebike",kennyboyinthe6084.0,81100,7796,9070,11800
2,20,Christmas Is Coming - DM Production,"santaclaus, emoji, emoticon, keyboarddrawing, typingart",itsonlywendy_,352000,273600,73100,1525
2,21,original sound - Tommy Thanh Bui,"fyp, foryou, tommybui, viral",tommythanhbui,9474,85,616,21
2,22,Судно (Борис Рижий) - Molchat Doma,"russia, slavic, russians",eduardtok,33100,389,2903,451
2,23,original sound - Ejay,"fyp, viral, rizz",ejaycruzz,107300,381,12500,314
2,24,original sound - liv hales,,oliviaaslifeee,7,0,1,0
2,25,oceans - Sm0ked,"ynwmelly, juicewrld, polog, kingvon, popsmoke, liltjay, freemelly, nlechoppa, roddyricch, lildurk, autotune, love, trending, legend, hiphopculture, vaiprofy, trapbrasil, fy, fyp, fypviral, trap, rap, hiphop, drill, status, capcut",faith.gangg,238300,1859,21500,1260
2,26,original sound - Haley 🌙 | aemkniqht,"fu, erich, money",mezrichest,1100000,26200,93900,19000
3,0,orijinal ses - MEL💫Dİ,,hairsalon.dejavu,684800,2987,34000,9211
3,1,Boogie Shoes - KC & The Sunshine Band,"@wienerschnitzel, uglychristmassweater, uglychirstmassweater",corbinmillet,57500,315,5138,544
3,2,suono originale - Panseri Yusuf,hairstyle,panseriyusuf,15500,74,568,25
3,3,Hot people use this - 𝐗𝐕𝐒꡴,"@sinetmatteo, skincare, menskincare",diamantblazi,69600,536,3271,255
3,4,original sound - Beverly Hills Comedy Team,,user1530328006877,4063,117,673,117
3,5,IT GIRL x Sexy B by L BEATS - DJ L BEATS,"@__bexbeauty__, @prettytheycentral, transitionbts, transitiontutorial, transition",luseeyalu,142000,870,13700,208
3,6,Let Me Down Slowly - 腾金涛,"playlet, drama",nb.playlet,47100,233,5653,340
3,7,Complete Silence 3 Minutes - Michael Clendening,"funny, viralvideo",clipsassemble,811300,4170,109700,14900
3,8,Fight - BeatBrothers,,wnmmovie,101000,126,12200,111
3,9,original sound - Aiden,"best, year, bestyear, 2011, foryou, foryoupage, fyp, viral, viraltiktok, viralvideo, aidxnft",aidxnft,1154,280,103,5
3,10,original sound - corecore,"corecore, mentalhealth, nichecore",corecored_,16200,212,2284,47
3,11,original sound - Dre & Lay,@r3db3rry_,andrebourgeixx,139300,2441,9167,223
3,12,original sound - Madison Funk,"teacher, teachersoftiktok, teacherlife, science, fun",mningram13,3,0,1,0
3,13,original sound - Brent Rivera,@queenchelsea,brentrivera,565300,8560,35100,13100
3,14,original sound - ✝️,,christian.chronicals,479500,9561,64000,5584
3,15,original sound - Jona,"arab, arabtiktok, muslim, christian",itsjoners,49300,955,5379,671
3,16,original sound - cpuotzw,"fyp, funny, humour, happy, comedia",cpuotzw,48000,185,7828,332
3,17,One Call by Rich Amiri - certified,"fyp, famous, foryoupage, inbenwetrust, trending, makemefamous, foryou, viral",benwentviral,4193,436,1275,33
3,18,original sound - Logan,"@lalisa_man0ban_123, top10, mostbeautiful, ranksie, fyp",good.sneeds,89900,23100,18000,23200
3,19,original sound - Travis Doodles,"love, kindness, blessings, hope, help",travisdoodles,36000,325,4368,111
3,20,son original - Charli,"foryou, foryoupage, asmr, funny",auntiecharli,225400,2832,41900,1557
3,21,original sound - 😂,"meme, funny, viral, fyp, xuhuong, cute",memeshere10,1200000,6102,140700,25700
3,22,original sound - Oppa's GIRL🇰🇷🇵🇭🏳️‍🌈,,maryliteedang,22100,54,1111,96
3,23,original sound - TheMacaulleys,"fyp%E3%82%B7%E3%82%9Aviral, trending, viral, couple, couplegoals, love, boyfriend, themacfamily",__themacfamily__,59700,202,1712,158
3,24,original sound - ryancrouse,,ryancrouse,48700,253,1433,39
3,25,A thousand years - Zeus,"surprise, comebackhome, soldiercominghome, militarycominghome, soldiers, military, soldier",surprisecominghome,265500,2849,28100,2353
4,0,"Creepy piano, ghost story horror ambient：L(1025873) - cowaii - Fear music encyclopedia","greenscreenvideo, 2024, blizzard, chicagoblizzard, fyp, chicagoweather, chicago, freezing",metacowboy,156600,4596,14500,12700
4,1,original sound - Gossip Girl,"fyp, gossipgirlhere, gossipgirl, chuckbass, edwestwick",tvdgossipgurl,618500,4264,29700,42900
4,2,original sound - vy 🍓,"alaska, alaskaair",strawberr.vy,3400000,56100,195700,277400
4,3,Hard News - DM Production,"patrickmahomes, chiefs, taylorswift, swifties, riristea, rivetsoro",riristea,212300,282,4616,234
4,4,original sound - Lynja,,cookingwithlynja,123000,499,10400,981
