batch,index,music,hashtag,author,likes,comments,shares,saves
1,0,Meow - Dust☆,,brentrivera,255200,514,14500,1402
1,2,original sound - KEEMOKAZI,onthisday,keemokazi,297600,1693,31200,1009
1,3,original sound - Alex,,vaynessvalery,246400,843,42700,6417
1,5,Lovin On Me - Jack Harlow,"fyp, egirl, viral, fakebody",daisybloomss,98300,749,10300,319
1,6,original sound - Sierra Larson,"fyp, fypage, trendy, romantoolit, thanksgiving",theonlyromantoolit,98400,667,16600,363
1,7,son original - 𝗧𝗢𝗕𝗜,"fortniteclips, fortnitebr, fortnitememes, fortnite, viral",tobi_exee,2900000,17300,363900,133900
1,9,Meow - Dust☆,"@scarathecutie, voiceover, voiceovers, elsa, elsafrozen, anna, annafrozen, frozen, frozenmovie, frozenmoment, frozenmoments, frozenelsa, frozenanna, elsaandanna, annaandelisa, frozenelsaandanna, arendelle, disney, disneymovies, disneymovie, disnevplus, disneyanimation, disneyplus, disneyfrozen, princessanna, queenelsa, princehans, hans, princehansofthesouthernisles, hansofthesouthernisles",risottosimp3000_3.0,48200,1143,10100,2041
2,0,Suara Seram Sangat Mencekam - Kholil Buitenzorg,"factsyoudidntknow, facts, satisfying, satisfyingvideo, learnontiktok, learn, satisfyingvideos",real.insane.videos,11800,7722,2650,30900
2,1,suara asli - waii ☆,"foryou, fyp, cvshkel, cvshnella, cvshstella, cvshshine, pourtoi, generationgifi, blowup, famous",.lovsxkelly,246000,61100,32200,3456
2,6,original sound - Dr.Cracks,,dr.cracks,17300000,120600,1200000,598500
2,7,original sound - ICE SPICE FAN,"@icespicee, icespice, icespicecult, icespiceperformance, scarlettour, icespiceisqueen, icespiceeedit, icespicefans, icespicefan, icespicebronx, trending",icespice_baddie1,78800,547,11900,699
2,12,nhạc nền - Survival Channel,"halleyquinn, granny, huggywuggy, troll, scarytiktoks, scaryteacher, scayteacher3d, scaryteachergame, niece, nick, tani, hero, funny, funnyvideos, parati, paratii, fyb, fyb%E3%82%B7, vairl, vairal, coffindance, squid, squidgamenetflix, squidgame, trending, trend, fyp, fyp%E3%82%B7, fyp%E3%82%B7%E3%82%9Aviral, fypdongggggggg, vairalvideo, bravo, brave, cartoon, animation, animations, squidgame, squidgamenetflix, superman, usa, usa%F0%9F%87%BA%F0%9F%87%B8, usatiktok, us",survivalnature_channel,645900,11900,101500,251600
2,13,nhạc nền - Meme Love,,memeking8386us1,303600,7859,54000,10800
2,14,original sound - clips.theboondocks,,vera.jrr,741800,12300,50700,3713
2,17,original sound - kahu,"foryou, fyp, funny, tiktok, movie, %F0%9F%98%82%F0%9F%98%82%F0%9F%98%82",tkdsbpnanzn,62200,200,5522,293
2,19,som original - Tal pai tal filho,,babyjoaomiguel07,2400000,35800,177200,174900
2,21,الصوت الأصلي - يمنى السيد,"%D9%85%D8%B3%D9%84%D8%B3%D9%84%D8%A7%D8%AA_%D8%B3%D9%88%D8%B1%D9%8A%D9%87_%D8%AF%D8%B1%D8%A7%D9%85%D8%A7, %D8%AC%D9%87%D8%A7%D8%AF_%D8%A7%D9%84%D8%B4%D9%85%D8%B1%D9%8A%F0%9F%92%99, %D9%85%D8%B3%D9%84%D8%B3%D9%84%D8%A7%D8%AA_%D8%B3%D9%88%D8%B1%D9%8A%D9%87, %D9%85%D8%B3%D9%84%D8%B3%D9%84%D8%A7%D8%AA_",ymnaahajhmod,41800,1482,8560,1664
2,23,Rûn Râbbît x Dârk Mâttêr - Tcezy Second,"fyp, xyzbca, viral, fyp%E3%82%B7, foryoupage",little.curiosity,842300,4773,64300,1855
2,24,som original - elsonoliveira229,,elsonoliveira9781,563900,93400,68700,223400
3,0,suono originale - Khabane lame,"comic, learnfromkhaby, ufc",khaby.lame,1800000,23100,62000,7913
3,1,الصوت الأصلي - MR BLUE,"stitch, stitchlover, halloween, christmas, tiktok, foryou, explore, collectionstitch, stitchstuff, liloandstitch, stitchandangel, ohana, disney, edits, artdigital, edit",mr.blue.heart,45600,3912,8104,268
3,2,original sound - MILITARY EDIT 3,"funnymoments, navy",military_lp,41300,222,5267,133
3,4,original sound - vani,"vanilbean, vani, ws10, chase, mm2, mm2fyp, roblox, foryou",vanilbean,557600,4480,96900,1592
3,5,Love You So - The King Khan & BBQ Show,"viral, valentinesday, fyp, boyfriend",andrea.lopez44,187900,595,14300,4249
3,8,House of Memories with guitar christianrlocke - Christian,"mom, baby, tiktokmakemebuyit",totlock01,39800,1114,6031,1187
3,17,THE NEXT STATION IS SHIBUYA - P.X,"@f_no_cool, @nevstudioofficial",arshia_._bk,398800,9080,50100,5475
3,19,original sound - songs.7483,,notmalyciaa,333100,662,43900,2529
3,21,original sound - Kira Kosarin,@emlyn_music,kirakosarin,234300,615,16500,427
3,22,original sound - Cops Story,"cops, copsoftiktok, copsontiktok, copstiktok, foryou, fyp",cops.story2,803100,14700,71400,21600
3,25,Tofu intro - juniperi,"fyp%E3%82%B7, ayjenmachtsch%C3%B6n%F0%9F%92%8B, hair",ayjenoffiziell,2900000,21700,164500,9560
3,26,Bongos (feat. Megan Thee Stallion) - Cardi B,"@sophieraiin, @summerxiriss",theaishahsofey,260000,1078,50800,1891
3,27,original sound - Kriss&Esme,"grwmdate, grwmroutine, daughterdoesmymakeup, makeuptutorial, makeuproutine",krissleos,221300,635,15700,200
4,0,original sound - SpotifySongs,"foryoupage, fyp, xyzbca, viral, trending, fyp",absolutehumanbeing,101100,11100,16800,6110
4,4,sonido original - Funny’s is going with me,,baby_ok122,638200,1728,38700,3746
4,8,оригинальный звук - никто,,realburnttoasthehe,310100,1035,45700,3375
4,9,original sound - ashley rose,,ashleyroseclips,15400,87,1520,8
4,11,The Months of the Year - 2014 Version - The Kiboomers,,xoteam,45200,250,2551,75
4,12,original sound - EX7STENCE™,"arelymurgo, myself",arelymt7,10800000,240600,397100,24400
4,15,original sound - SouthernBoyzOutdoor,"fyu, jambalaya, louisiana",southernboyzoutdoors,1800000,17700,120600,38300
4,18,original sound - Buddy bam,"familyguy, kidnapper, fyp, explorepage",zurielnathan,570700,7348,75100,11700
4,20,original sound - rachel,"airpods, airpodshack, fyp, school, highschool, skippingschool, fyp%E3%82%B7, foryou, plumcots, tiktok, viral, greenscreen",plumcots,379300,537,49800,340
4,22,original sound - SpotifySongs,"hacks, fun, tattoo, likes, views, followers%E2%9E%95",hacks7199,8092,326,2670,148
4,23,MISS MISS WESTY - yeezyupdates,"grwm, matchingoutfits, mommyandme, fyp%E3%82%B7",estxefania,303000,1385,19600,746
4,24,original sound - Modeli,,smelimodeli,177700,887,49300,1103
5,1,original sound - user96414473171,"pianoteacher, pianogirl, wwe, prettybabe",teacherisabellapianoo,14400,342,1505,57
5,3,original sound - Violet,sexxyred,js.userr66,48300,806,11700,2021
5,7,original sound - ✨DLA Fam✨,"family, 6foot10, 5foot2",dla_fam,2800000,29400,155500,16800
5,8,original sound - torross.crafted,"asmr, leathercraft, leathertiktok",torross.crafted,719900,3988,49500,3902
5,9,Thank you to my ma - postinghellcatt,"tall, family",marietemara4.0,100900,2424,5401,989
5,10,original sound - Logan Miller,,loganmillerx,203900,639,12200,222
5,18,original sound - Zeyadeh Hetsler,"fyp, tiktok, tvshow",zeyadeh.hetsler,192300,457,10900,129
5,20,nhạc nền - Funnymeme,,funnymeme.us3,62000,752,11300,1325
5,21,original sound - Nieka Richard,"@wockhardt03, principalrichard",niekarichard,8700000,109700,708700,131800
5,22,Ick - Alt Ending - Lay Bankz,,lexibrookerivera,1600000,8233,121500,10400
5,23,sunet original - Victor drx99,"fyp, foryou, school, florida, highschool, class",tamara.snb,886600,10300,61100,5178
5,24,Creepy and simple horror background music(1070744) - howlingindicator,"foryou, disney, fyp%E3%82%B7, fyp",moviemistakesomg,742000,10800,61100,1564
