batch,index,music,hashtag,author,likes,comments,shares,saves
1,0,original sound - REEKON Tools,,reekontools,643400,3887,105500,77700
1,1,Move Yo Body fazo edit - fazo💫,,uluv.luna.tuna,258399,785,33700,917
1,2,Meow - Dust☆,,brentrivera,255200,514,14500,1402
1,3,original sound - Addictive lyrics <3,,blackgapprincess,19600,86,1867,113
1,4,original sound - Nieka Richard,"@wockhardt03, principalrichard",niekarichard,8700000,110000,708700,131800
1,5,original sound - SohaLove,"movie, fyp, tiktok",sohalove4,33600,119,3271,81
1,6,RICH Yahneofficial house - Yahneofficial Fan Page,"facecard, asmrbarbie, asmr, asmrglue, mansion, sold, @krystaltherealtor_",yahneofficial,618400,2700,46200,2142
1,7,original sound - mearsmelio,"@stephcharlss, fy, fyp, fyp%E3%82%B7%E3%82%9Aviral, foryou, foryoupage, viral, fame, fanpage, fp, fan, cg, coloring, charlidamelio, char, charli, charbar",marschvarl,186,19,21,0
1,8,original sound - Career in Queue,,career_in_queue,1015,30,56,138
1,9,Ick - Alt Ending - Lay Bankz,"hegavemetheew, makeuplover, trendingsound",krissleos,99100,1122,10000,666
1,10,daddys home - 𝓢𝓹𝓸𝓽𝓲𝓯𝔂 𝓛𝔂𝓻𝓲𝓬𝓼,"lorax, daddyshome, joshhutcherson, bomboclaat, babysitting, gyat, fyp",joelle_94,8900000,40700,772700,118400
1,11,Love You So - The King Khan & BBQ Show,,czerbeoim,10300,263,1257,95
2,0,Drilla - Opps & Blocks,"tall, family",marietemara4.0,7811,223,1980,19
2,1,original sound - Account not found,,bellaolivertkk,5752,52,458,41
2,2,original sound - Athena Peros,,athena.parisss,152800,2023,6362,3443
2,3,original sound - FREYA ASPINALL,"foryoupage%E2%9D%A4%EF%B8%8F%E2%9D%A4%EF%B8%8F, viral, foryourpage, foru, viralvideo, fyp%E3%82%B7, foryou, viraltiktok, gorilla, fyp, for",aspinallfreya,33200,484,1999,1578
2,4,nhạc nền - Comedy’s usa,,meme_usa13,807800,7245,60900,59400
2,5,Despicable Me Whistle Theme By TheBoisBeVibin V2 - :),,haleyybaylee,452000,1659,24100,862
2,6,original sound - Here’s the full video,,no_tothe_pumpkin295,459400,3211,45100,2106
2,7,original sound - silver,,doylldonmagar1,24,2,24,0
2,8,original sound - Getti,"waterbeads, sportsballoons, popballoons, mysteryprizes, vegastiktok",gettishow,221100,6997,16700,1636
2,9,My sound - Ticklemonster,fyp%E3%82%B7,slimeball69_,26400,112,1696,37
2,10,la fève bouncy pamper - jo,,sarahli.h,110000,60,19800,6968
2,11,original sound - Movie3658,"foryou, fyp, movie, film, movies",zxhzxpxg7px,99700,167,13100,200
2,12,original sound - Syl Foisy,"foryou, fyp, foryoupage, trending, viral, satisfying, oddlysatisfying, chalktok",syl_foisy,976700,71400,66000,2402
2,13,original sound - The Grimwade Family,"wopchallenge, crystalgirls, crystalpalacecheerleaders, cheerleaders, crystals, cpfc, fyp, dancers",thecrystalscpfc,70100,287,5044,226
2,14,original sound - UziDaily,"bsf, blowthisup, fyp, @_r.egina",117._0,149200,2562,17800,2041
2,15,Quer Fuder Com os Sem Amor Vs Beat Risada - Lgzin e cabelinho & Mc Grigo 22,,kris8an,129199,1277,16100,4788
2,16,Make You Mine - Madison Beer,,di1araa.s,122400,819,8927,544
2,17,original sound - Cops Story,"cops, copsoftiktok, copsontiktok, copstiktok, foryou, fyp",cops.story2,803100,14700,71400,21600
2,18,original sound - mearsmelio,"@mearsmelio, @frankimeilo, mearsmelio%F0%9F%8E%80%F0%9F%A7%81, mearsbears%F0%9F%92%98%F0%9F%A5%B9, xyzbca%F0%9F%92%90%F0%9F%8C%B8",mearsmelio,461,156,74,2
2,19,goosebumps - cey’s,fyp,ppwyang_,5126,10,333,13
2,20,original sound - RANGO TENGE TENGE 🇺🇬,@rangotengetenge,noelgoescrazy,13000000,123300,932800,266800
2,21,Tofu intro - juniperi,"fyp%E3%82%B7, ayjenmachtsch%C3%B6n%F0%9F%92%8B, hair",ayjenoffiziell,2900000,21700,164500,9560
2,22,suono originale - spidey,"dance, fyp, viraldance, dancetrend",andakitty,28100,183,5515,283
2,23,original sound - EX7STENCE™,"foryourpage, ideatimes, tipsandtricks, learnontiktok",ideatimes,398600,2068,87900,83800
2,24,original sound - Air Run,"ocean, deepsea, storm, northsea",airrun_,160900,2260,20100,1977
3,0,original sound - Scary US,"bushman, bushmanprank, scarecam, scarepranks, funnyvideos, jumpscare, fail, funnyfail, funny, scaryprank",scary.pranks9,5900000,22500,389200,42400
3,1,original sound - Keller Moore,"cadillac, deville, caddy, beater, fyp",kellermoore,1500000,4685,101300,22200
3,2,original sound - songs.7483,,notmalyciaa,333100,662,43900,2529
3,3,Don’t Talk to Me (Sped-up Version) - Tre Coast,@mind_yo_business_1.121.1,diva__flawless,4560,76,440,12
3,4,original sound - DL-Life Tips,"lifetips, tiktok",user1381039782671,275700,414,114000,25100
