batch,index,music,hashtag,author,likes,comments,shares,saves
1,0,original sound - YahneOfficialASMRBarbie,"facecard, asmrbarbie, asmr, asmrglue",yahneofficial,2700000,6181,137500,14400
1,1,original sound - speed UP songs,"geekedup, dance, minnesota, fyp",emersonrock,162900,321,13500,251
1,2,original sound - REEKON Tools,,reekontools,643400,3887,105500,77700
1,3,original sound - Cool Grandpa👴🏼,"grandpa, joke, fypisbroken, comedy, jokes, relatable, fyp%E3%82%B7%E3%82%9Aviral, funny, school, nap",theverycoolgrandpa,4400000,36200,483200,66800
1,4,original sound - :),"guesswhossinging, style, taylorswift, guessthesinger, theatrekids, childrenstheatre, oceancountynj",bcctplay,468400,44100,25700,936
1,5,CHOWDA - Alexis💟,"mentalhealthmatters, cops, mentalhospital, draft",urlocalstargirl,321500,1841,33400,642
1,6,original sound - ElysiumCrux,,miawaiifuxo,38200,1044,3316,84
1,7,original sound - workplace film,"movieclips, foryou",workplace.film,603500,1273,45200,702
1,8,original sound - 💋💋,"fyp, fyp, viral, viralvideo, bell, kenises, kenetic, telekenetic, telekinesis, telekinesispowers, 018, realnotfake%F0%9F%92%8B, janehopper, elevenhopper, strong, abilities, telekinesisisreal%F0%9F%92%8B, fyppppppppppppppppppppppp",bell._kinesis,74000,1498,6756,242
1,9,original sound - The Relationship Hub,,pierson,2000000,11400,122100,14300
2,0,original sound - Stephanie Lynn,"clayfriends, clay, art, handcrafts, handmade, ayart, charms, cats, catcharms",muwiart,47000,21900,4898,140
2,1,Aesthetic - Tollan Kim,"movie, tiktok, fyp, foryou",qy.movie,515900,2215,43100,938
2,2,original sound - + н︎α︎ιℓє︎y/є︎ℓ 💫,"fyp, fyp, viral, viralvideo, bell, kenises, kenetic, telekenetic, telekinesis, telekinesispowers, 018, realnotfake%F0%9F%92%8B, janehopper, elevenhopper, strong, abilities, telekinesisisreal%F0%9F%92%8B, fyppppppppppppppppppppppp",bell._kinesis,8511,981,1172,110
2,3,original sound - Weirdo,"foryoupage, foryou, fyp, funny, comedy",weirdow0rld,161900,1559,29900,2225
2,4,original sound - riley mae,"interview, streetinterview, tiktokchallenge, challenge, viralchallenge",rileymae,5670,39,557,36
2,5,original sound - ❥ 🇪🇸◟خويلد ؟,"pianogirl, pianoteacher, biden, prettybabe",torypiex,184100,1365,24900,1520
2,6,brian is the most beautiful - ❀,"viral, fyp, real, mentalhealth, relatable, sad, sadrelatable, imtired, mentalhospital",someone...idk7,1100000,0,75500,1711
2,7,MONACO - Bad Bunny,"tall, goat, nba",thattallfamily,24700,944,2105,210
2,8,Lovin On Me - Jack Harlow,"@i_am_the_boss7, fidget, fyp, galaxyball, satysfying, foryoupage",galaxymoonball_,27300,9535,2712,159
2,9,Originalton - xoxo gossip girl 💗,"fyp, diet, gym, weightloss, fit",pookieateacookie,8835,1655,1288,515
2,10,origineel geluid - ⚡️,"therian, therianthropy, quadrobics, wolftherian, wolfdog, alterhuman, theriantiktok, quadrobist, therians",dizzystardogg,14300,545,3136,172
2,11,original sound - DT Valeting,"freecomedy, unbanthemanniishow, themannii",the_mannii,43400,361,4876,970
2,12,original sound - Jay,,diamantblazi,18400,442,1941,263
2,13,original sound - CAITLYN JAYE,,caitlyn.jaye,351700,3007,16800,1547
2,14,original sound - dances.4uu.to.learn,"fyp, viral",chaci.rae,174,2,2,0
2,15,Originalton - messy tea,"dancemoms, hair, aldc, fyp, fyp%E3%82%B7, funny",messy.tea,275800,1299,22500,569
2,16,TATTI By Bktherula - 4TU,"fyp, ootd",camrynjames_,29600,535,1921,217
2,17,ur beautiful - 🇲🇦🎀,,_s2rahh,32000,355,2256,100
2,18,original sound - Roman Corona,"funny, funnyvideos, scaryvideos",romancorona6,1100000,17000,101700,89200
2,19,Soak City (Do it) (Slowed Down) - 310babii,,lovealwayspiper,190100,768,7084,284
2,20,original sound - 𝖑𝖊𝖝𝖆𝖓,"xyzbca, blowthisup, lexanedits, foryoupage, fyp%E3%82%B7, memes, fyp",lexanedits,1500000,9719,198100,28600
2,21,Jealous - <3,fyp,littlemissscorpioo_,495400,3459,37200,976
2,22,Love Nwantiti(Dance Ver) - FYP 🤍🇲🇺,,enola.bedard,145300,423,7753,239
2,23,original sound - KC,"northwest, kimkardashian, kardashians, fyp",kardahiansclips,1600000,6771,69200,11700
3,0,original sound - Opulent Vision,"funny, entertainment, cubing",opulentvision,27300,2883,5660,1453
3,1,original sound - Jay,"diamantblazi, seckoff, bball, basketball, fyp, dance, gamewin, gameday, viral, foryou, trend, floridabasketball, florida, usa, usabasketball, trio, dunk",diamantblazi,189100,846,12900,1163
3,2,Fluffing a Duck - Kevin MacLeod,,itsjojosiwa,361400,2575,18300,1228
3,3,kai bomboclaat - 6’2 with dreads btw,,giannamjoyce,207600,1207,17400,431
3,4,MOVE YO BODY - Bryansanon,,lanaslifeee,133200,2678,24700,548
3,5,The Months of the Year - The Kiboomers,,xoteam,18600,79,926,21
3,6,Candyman (Ultimix Mixshow) - Christina Aguilera,,lexibrookerivera,2000000,16100,196400,18800
3,7,original sound - ☆ FRU / SYNTAX,,tnmgps,766300,8594,95300,19300
3,8,original sound - lakyiamornes,,kyiasamone,5600000,42400,318500,158100
3,9,original sound - haileena,"fyp%E3%82%B7, japanese, japan, %E3%81%8A%E3%81%99%E3%81%99%E3%82%81%E3%81%AB%E3%81%AE%E3%82%8A%E3%81%9F%E3%81%84, fyp",marikasandesu,262300,482,17100,269
3,10,Hahahaha again - Kelsey🪖💐,"like, follow, share, comment",shelbyacat,307300,1258,53100,4038
3,11,original sound - Dalanie DiSabato✨,"fyp%E3%82%B7, funny",tina_042,439900,4976,34400,7922
3,12,Love songs - ⭐️,,sna_couple_,56800,1127,6401,3027
3,13,original sound - mckinley richardson,@ashlleyxrose,mckinleyrichardson,17500,186,4053,31
3,14,Obsessed - 𝐒𝐏𝐎𝐓𝐈𝐅𝐘,,b.e.n_rl,124900,5398,18900,2422
3,15,original sound - Ruck‼️,"foryou, viral, crush, friends",thesimp5onfamily,200700,1827,20000,2143
3,16,original sound - abby :)🔅,"pregnant, findingoutimpregnant, pregnancy, pregnancytest, pregnancytiktok, preggo, fyp, foryourpage, funny, 17, boyfriend",abby.brook3,1500000,8009,71100,9066
3,17,Am so preppy - Callum Haughey,"preppy, imsopreppy, chantelle, preppythings",callumhaughey,163300,16400,32800,32800
3,18,Originalton - ♡,,chanderland,14900,103,1485,135
3,19,DarkHorse - Colin McIntyre,"fyp, gym",colinmcintyre,725400,1390,40600,920
3,20,original sound - The Relationship Hub,,michelle.and.andy,269900,734,18500,4497
3,21,original sound - Brian💂🏼‍♂️,,onlyfamousbrian,894600,3024,87300,5493
4,0,original sound - Grandview HS Cheer,thejiggyprince,thejiggyprince,123000,141800,9828,1150
4,1,Just for Me - PinkPantheress,"cuteguy, cute, divorceddad, over40, separatedbuthappy, youthful, confidentlycute, datingover40",divorceddad83,824300,64400,85300,71200
4,2,Left Outside Alone (US Album Version) - Anastacia,"racing, quadrobics, quadrobicspractice, quadrobicsrun, quadrobicsrunning, runningonallfours, runningonall4s, fyp, atheltes, athletesoftiktok",hanna.kouba,11200,388,1681,91
4,3,original sound - Geu,"foryou, film",geu1391,289800,605,25800,249
4,4,Magnetic Field 396 Hz - Yotam Agam,wisespade7,plmatter,95900,807,7665,2210
4,5,IT GIRL x HOLLABACK GIRL by ALTÉGO - ALTÉGO,@iammarcohall,brookeashleyhall,59100,152,2194,271
4,6,Deli instrumental - KG ✰,"queen, fyp, trending, foryou, foryoupage, fart",makaylawuzhere,6295,548,629,595
4,7,original sound - Paul Vu,,paulvutv,45400,609,7489,304
4,8,original sound - Debbie Valdez,"fyp, fyp%E3%82%B7, couple, couplecomedy, couple, foryoupage, relationship, couplegoals, viral, couplelove, trending, xybca, funny, couplestiktok, relatable, foryou, boyfriend",debbiekval,2400000,4865,192800,17700
4,9,snooze - sped up audios 🎧,,layloolaaaaaa,3479,230,697,113
4,10,Cha Cha - ZEDDY WILL,"cuteoutfits, powerpuffsgirls, powerpuffdunks, blackgirlsoutfit",razzi_boo,4793,237,737,24
4,11,son original - Army.ylx,"usarmy, military",army.edit01,3900000,14600,285900,12800
4,12,original sound - spo6kzie,,yk.quotezz_,37400,141,3157,29
4,13,original sound - Wonky Donkey,,_wonky_donkey_,246400,6756,25100,23800
4,14,eminem - stan lofi (slowed + reverb)（剪辑版） - HaMidM,,mazafakersem,114300,711,7752,429
4,15,som original - W&K,tutorial,twinmelody,514900,1009,16000,621
4,16,original sound - Jillian !,"fyp, sick, cold, cough",harperzilmer4,532700,5359,41400,4007
4,17,original sound - Overtime,"funnykid, impressive, shoutoutot",overtime,246900,1012,12600,539
4,18,Gucci Flip Flops - user73494582901,,secretst0n3r,1300000,7454,88600,5103
4,19,Bow Bow Bow (F My Baby Dad) - Sexyy Red,,brookemonk_,196800,676,10100,490
4,20,Move Yo Body fazo edit - fazo💫,,uluv.luna.tuna,258399,785,33700,917
4,21,original sound - TIANA ᥫ᭡,@cassandramaedavis26,kels.aff,175600,923,11600,1026
4,22,Lovin On Me - Jack Harlow,,averycyrus,162500,1085,6529,804
5,0,original sound - spo6kzie,,abbysaltzmaniscute,210200,2823,38000,719
5,1,One Call by Rich Amiri - certified,,resellnex,59000,214,4476,360
5,2,je te laisserai de mots - ☆☆,"schoolphotos, schoolpic, pictureday, firstdayofschool, lastdayofschool, prek, graduation, schoolpictureframe",graceandrosesco_,1800000,0,204300,30700
5,3,Murder On The Dancefloor - Sophie Ellis-Bextor,,ijustreallylikecatshuh,513900,1104,19700,510
5,4,original sound - jahgotbags,"roblox, shadowboxing, jahgotbags, icespice",jahgotbags,272200,1057,49000,1091
5,5,original sound - Brent Rivera,,brentrivera,1500000,3190,86800,24700
5,6,Sweet Dreams (Slowed + Reverb) - Ravens Rock,"fyp, foryoupag%D0%B5, britishhumour, ukcomedy, relatable, viral, akaelite2, capcut",akaelite2.0,316100,3274,48400,4519
5,7,original sound - Shane Temara,"tall, family, mom, tallgirl, tallguy, fyp",shanetemara,2176,155,161,16
5,8,nhạc nền - Justin Flom - firedepartmentchronicles.clip,"justinflom, magician, streetmagic, funnyvideos, viral, fyp",fdc.clip,46700,163,3382,374
5,9,"Down, Up! - BabyTron",kaneandprymr,kaneandprymrr,79300,158,4842,132
5,10,sonido original - halo,"@lilwavy.7, @yohan_lbt, diamantblazi, seckoff, bball, basketball, fyp, dance, gamewin, gameday, viral, foryou, trend, floridabasketball, florida, usa, usabasketball, trio, dunk",diamantblazi,664100,4370,47800,3336
5,11,original sound - kelly gallo,interview,kellyxgallo,24400,116,1461,25
5,12,original sound - Rob Landes,"@marrcusveltri, pitchperfectduo, talentotiktok, marcusveltri",roblandes,380500,2542,72500,5536
5,13,Baby One More Time - Cory Nation,"@matildedaniele29, fyp, fyp%E3%82%B7, couple, apple, iphone14, boyfriend, omg, couplegoals",matildemorra29,695900,6000,219300,24200
5,14,idyll - jonjthan,,lanaslifeee,242500,11600,48500,3249
5,15,lucid dreams YKARE cover - ykare,"juicewrld, luciddreams, fyp%E3%82%B7%E3%82%9Aviral",whyk4re,3900000,18800,363200,74600
5,16,I Wouldnt Mind - ♱,"fyp, couple, foryoupage, viral, couplegoals, trending, @emilylou.xoxo",emilyylouu1,673500,2237,35500,9344
5,17,original sound - kakaui,"aelfriceden, aelfricedenfamily, streetwearstyle, aelfricedenlexi, aelfricedenstreetwear",kakamalou,2416,33,524,80
5,18,Shameless - Camila Cabello,"gymtransformation, weightlosstransformation, gym",theprettybiggirl917,3500000,18900,99500,11000
5,19,original sound - Tc,,jaydenhunt23,170900,1196,15800,1409
5,20,original sound - Colin McIntyre,"fyp, gym",colinmcintyre,2100000,5105,165800,6234
5,21,Bad Feeling (Oompa Loompa) - Jagwar Twin,"pov, fyp, trending",autumnnmonique,386300,2385,37100,1238
5,22,Asn - thsituan._.,"fyp, enhypen, engene, 06",xusyxchevy,2100000,10800,136900,10200
5,23,original sound - The Relationship Hub,"samandjess, couples, youneedahug",samandjessofficial,375500,719,22400,5408
5,24,original sound - That funny guy 😆,tiktok,lilwavvevlogs,2200000,28100,270300,29100
5,25,original sound - kardashianicon,,itsari.aleise,134900,974,8412,511
5,26,original sound - Cheska Limson on Youtube,"magsinotwins, magsinosibs, fyp, siblings, zxycba",athenadsuperior,418200,3,27300,47100
5,27,Bongos (feat. Megan Thee Stallion) - Cardi B,,theneelajolenee,158100,6128,19000,9299
