batch,index,music,hashtag,author,likes,comments,shares,saves
1,0,original sound - YahneOfficialASMRBarbie,"facecard, asmrbarbie, asmr, asmrglue",yahneofficial,2700000,6186,137500,14400
1,1,original sound - Gavin.kernstinee,igmirandahhmarie,mirandahshaul,412000,1841,45000,7215
1,4,Candyman (Ultimix Mixshow) - Christina Aguilera,"fyp, nflfootball, chiefs",thosereallycoolbffs,4400000,43700,668000,121600
1,5,original sound - 🫶LANDREW FOR LIFE🫶👈,"foryou, fyp, landrew, ampworld, piersonwodzynski, pierson, mrbeast, dombrack, benazelart, ampworldnews, andrewdavila, lexirivera, airrack, preston, unspeakable, brentrivera, lexihensler, stoketwins, jeremyhutchins, amp, funny, likes, 100k, love, truelove, true, landrews, landrew, tiktok, chrismas, grwm, grwm, trendy, roblox, fazerug, pierson, lexirivera, lexi, andrew, andrewdavila, youtube, tiktok, youtubers, influencer, instagram, influencers, bexi, sad, ship, usa, huntigtonbeach, edit, alexa, andrew, love, cute, trend, nastya, likenastya, 300m, youtube, sped, audio",ampworld_editzzz,12700,172,2229,135
1,7,Ick - Alt Ending - Lay Bankz,,sneha.v,68200,331,7126,64
2,0,original sound - qouk_ka,"fyp, foryou, couple, couplegoals, relatable, couplecomedy, funny, humor, relationships, relationshipgoals, marriage, husbandwife, marriagehumor, trending, viral, love, mollyandjordy, xybca, fyp%E3%82%B7",mollyandjordy,147100,205,8117,4286
2,4,dc fefezete - Maria Fefe,,emillyvickof,252600,5014,17100,1923
2,5,suara asli - 𝐌𝐢𝐧𝐞. - 𝟑𝟎𝟑 𝐌𝐢𝐧𝐞.,"@boy_cute_china_yl, boy_cute_china, boy_cute_china_yl, fyp, chineseboy, douyinboy, douyin%E6%8A%96%E9%9F%B3, tiktokchina, yeonlunc, yl_fan_boy_china%F0%9F%87%A8%F0%9F%87%B3",boy_cute_china,342700,2382,34600,3231
2,7,Чупки в кръста - Fiki,,omari.to,326300,1918,18000,806
2,8,original sound - jeanmegan06 - Number 8,,jeanmegan06,319800,3985,66800,31100
2,12,original sound - Hoops Nation | Sports,,hoopsnation,60400,758,10900,863
2,13,original sound - spo6kzie,,northstarboys,37400,250,3919,122
2,16,sonido original - Paula,"aviation, flightattendant, aviationlovers, cabincrew, fyp%E3%82%B7",paula_cdtc,2300000,6699,130800,13900
2,20,som original - Gabi Gagliassi,"tiktokesportes, voleibol, voleibrasil",gabigagliassi,287700,433,8683,369
3,4,Out of My League - Fitz and The Tantrums,,tashh02,160300,251,5413,256
3,5,Gasolina - Latin Flow,"fyp, fyp%E3%82%B7, motoboy, explore, explorepage, abs, motorcycle, motorbike, taekwondo, kick, martialart, 360, 540, %EC%9A%B4%EB%8F%99, %EC%9A%B4%EB%8F%99%ED%95%98%EB%8A%94%EB%82%A8%EC%9E%90, %EC%97%AC%EB%A6%84, %EB%AC%BC%EB%86%80%EC%9D%B4, %EC%8A%AC%EB%A1%9C%EB%AA%A8%EC%8A%A4%ED%8F%AC%EC%B8%A0, %ED%8B%B1%ED%86%A1%EC%8A%A4%ED%8F%AC%EC%B8%A0, ootd, trending, fyp, viral, ootd, trending, speed, trend, black, foryou, fyp, fyp%E3%82%B7",guhayoon,17000,179,1119,182
3,7,original sound - SUSORIGINALS 🦋,"upcycled, reworked, thriftflip",susoriginals,148200,415,12700,782
3,12,Your number - 𝐋’🎧✰,,northstarboys,105400,460,8243,256
3,14,original sound - Sierra Larson,,paigemackenzie,146100,499,6248,4792
3,15,original sound - 🕊️,fyp,mv.ria5,1200000,16700,95200,60600
3,17,original sound - alexisandasher,"daycare, viral, toddlersoftiktok, toddlerlife, blowthisup, toddlermom, explore, explorepage, loved",alexisandasher,1400000,4685,72300,12600
3,19,original sound - Liane V,"@wearethebenjamins, baby, birthday, family",lianev,2300000,8161,150200,35300
3,20,suara asli - DYREN,,venicewong4u,50600,1281,8476,186
3,22,son original - 💐𝐵🪐,,brookemonk_,3500000,6239,162900,8330
3,24,original sound - Larry Gao,"fyp, foryou, foryoupage, fit, fitness, gym, gymbro, gymlife, workout",larrygao,1000000,4415,62800,24800
4,1,original sound - KEEMOKAZI,,keemokazi,345700,1682,23300,908
4,2,sweet caroline but dark academia - fingerbib,"fyp, moonball, fidgettoys, satisfying, tiktokmademebuyit",magnetball4,45100,6382,5402,358
4,5,Meow - Dust☆,@aelfricedenofficial,c4pr1i,163100,920,22200,1220
4,6,original sound - House of Auto,"tiktokmademebuylt, fyp, vr, lordoftherings, musthaves, tech",visorxr,3200000,17400,387200,78000
4,7,original sound - pj,onthisday,tiktokpj,149900,1452,15200,1400
4,10,original sound - Wouldyourather!,"crocs, game, yeezyslides, quiz, trivia, game, thisorthatsblv, crocs, whatwouldyouratherhave, fyp, fyp%E3%82%B7%E3%82%9Aviral, nyc, newjersey, newyorkcity",wouldyourather.officiaal,1158,529,274,435
4,11,original sound - mark’s brita filter,"fyp%E3%82%B7, fyp, foryoupage, basicwhitegirl, basicwhiteboy, basicwhitegirls, kidsfrommyschoolplzdontfindthispage",itz_alison_lps13,33,17,5,0
4,14,original sound - beasuser,,matthewsieverin,54200,719,12400,268
4,15,original sound - haleyybaylee,"@goldenglobes, goldenglobes",haleyybaylee,1200000,2560,45700,2817
4,16,original sound - igor the elephant,"@asher.lara, @ellanoel8",soph1efergi,30700,133,1475,30
