batch,index,music,hashtag,author,likes,comments,shares,saves
1,3,Originalton - NF KING business👑,"fyp, fy, foryou, fyp%E3%82%B7, weightloss, fyp%E3%82%B7%E3%82%9Aviral, xyzbca, motivation, gymmotivation, gymlife, goviral, weightlosstransformation, journey",laura.ooe,143600,675,13500,3456
1,4,original sound - Money Talks Wireless,"fyp, foryou, foryoupage, ct, moneytalkswireless, funny",moneytalkswireless,24800,4043,2087,18
1,5,Perfect Night - LE SSERAFIM,"kpopfyp, perfectnight, lesserafim, @le_sserafim",bubbletea.o1,137300,320,13500,206
1,8,Operation Sweep - Falz,,sofit_ng,80800,1128,2042,1046
1,9,original sound - Funny,"meme, funnyvideos, fyp",memebrzi,1100000,11500,147600,60800
1,10,original sound - ChainsFR,chainsfr,chainsforreal,52400,213,5086,144
1,11,original sound - Best GoldPranks T.v✪,"prank, golddigger, car, lamborghini, supercar",king_prankt.v,1934,28,159,18
2,3,Despicable Me Whistle Theme By TheBoisBeVibin V2 - :),,haleyybaylee,452000,1659,24100,862
2,5,In the Mood - Glenn Miller,,delirico,484800,2689,179100,144400
2,6,son original - lucamrki,"fyp, foryou, viral, freestyleiceskating, freestyle, iceskating, makethisviral, makethisblowup, pov, booktok, writingprompt, freetherapy, iceskatingtiktok",ricky.dyd,1989,1024,290,23
2,8,Rules - Doja Cat,"@dojacat, dojacat, doja, rap, singing, edit",dojasvault,4502,14,440,5
2,10,original sound - Tayo Ricci,,tayoricci,20900,317,2048,106
2,11,son original - CBR Videos 👻⚡️,,discovery.cbr,107500,308,8522,2113
2,14,Very Sad - Enchan,"respect, explore, f%C3%BCrdich, mom, kids, viral, kindness, foryoupage, %D8%A7%D9%83%D8%B3%D8%A8%D9%84%D9%88%D8%B1, %D8%B3%D8%AA%D9%88%D8%B1%D9%8A%D8%A7%D8%AA",kisra.khalil,218400,6628,12100,3280
2,17,"Miraculous (Générique de la série TV ""Tales of Ladybug & Cat Noir"") - Lou",,edivaniacosta918,1700000,69500,167900,104400
2,23,sonido original - halo,,diamantblazi,18300,168,1161,102
2,24,original sound - Emmy Combs,"@vacationinc, @tatcha, @tartecosmetics, @urbandecaycosmetics, @benefitcosmetics, @hourglasscosmetics, @onesize, @lillylashes, @rarebeauty, @lauramercier",emmycombss,34100,224,1069,55
2,25,nhạc nền - Meme!,,memescute_usa,47500,78,4483,290
2,27,original sound - KEEMOKAZI,"duet, tacata, tacataremix, acapella, trending, tendencia, trendingsong, cancionestendencia",iamtiagz,851100,4888,73800,1029
