batch,index,music,hashtag,author,likes,comments,shares,saves
1,0,original sound - 𝙹 𝙾 𝚈 𝙲 𝙴 𝙻 𝙸𝙽 💋,"serverlife, serverproblems, servertiktok, servers",lujanojoyce,147000,0,22100,850
1,1,BETTER chica sorry - fangirleditz,fnaf,bebopandbebe,105200,4269,10600,594
1,2,WHY IS MY SOUND POPULAR WHAT - 🫶🏻,"fyp, glutesgrowth, gluteworkout, busy, gymgirls, capcut",zlatqueen,297100,2405,50200,3799
1,3,AIN'T GONNA ANSWER - NLE Choppa & Lil Wayne,"foryou, transition, trend",lala_sadii,207600,1083,16900,408
1,4,original sound - Deesh🌹,"@xxladysithxx, foryoupage, foryou",baddiegyals_,57700,135,2410,182
1,5,Went Silly - King Von,"robloxhoodgame, robloxhoodrp, kingvon, oblock, cheating, ak",krazybando,13400,507,2826,306
1,6,original sound - Kylie Cantrall,descendants4,kyliecantrall,1600000,5522,73900,2284
1,7,Asn - thsituan._.,,ccabots,204600,4762,126000,3849
1,8,original sound - amanuelisurcrush,,amanuelaref,753500,2650,90100,5229
1,9,Out of My League - Fitz and The Tantrums,,jaimeadler,160800,1101,17500,1056
1,10,Don't Go Insane - DPR IAN,,viscorpse,765000,5690,106300,4727
2,0,original sound - The Relationship Hub,,queenofthe270,1500000,1958,67300,5419
2,1,오리지널 사운드 - 박형 - .ㅋㅋ,"fyp, christmas, viral, couple, fail, snowmanchallenge",malibu_31,153700,597,11200,923
2,2,g6 instrumental - mo,,thatdollmo,744100,3897,74500,10100
2,3,La foule - Remastered - Édith Piaf,,giuliacorrado_,105700,1148,9913,3415
2,4,original sound - amari🎧,"pregnant, wife, rich",lionlindaa,72500,338,3109,518
2,5,original sound - Marcelo Wang,"mandarin, chinese, marcelowang, slaybeatie, fentygloss, benefitcosmetics",marcelowang0527,2500000,13800,403900,75900
2,6,original sound - The Relationship Hub,"trend, fyp, foryou",thistrippyhippie,137200,346,5324,318
2,7,sonido original - Websterjac,"egresados, promo23, fyp, fyp%E3%82%B7",aldiicomaas,259800,744,34300,936
2,8,tokyo sped up - ☁️,fyp,kaylamalecc,248400,4967,14600,1074
2,9,original sound - Luminance Medical,"fyp, foryou, foryoupage, fyp%E3%82%B7, viral, fypage, fyp%E3%82%B7%E3%82%9Aviral, popular, surprise, tiktokmademebuyit, xybca, lifehacks, redlight",luminancered,304500,3418,29100,1916
2,10,orijinal ses - caner,"foryou, takealookofmygirlfriend, foryoupage, parati",machiavelliicaa,199200,953,13500,1513
2,11,Falling Behind - Laufey,,kenzie.ballard3,2200000,6941,137300,27000
2,12,original sound - King Chaddy 👑,"@eliza.good1, americansignlanguage, signlanguage, foryou, trending, viral, fyp, foryoupage",chaadcrb,5432,82,1437,230
2,13,Never Lose Me - Flo Milli,fyp%E3%82%B7,tina_042,1100000,6091,115700,7409
2,14,5 SONGS MASHUP - Samuele Brignoccolo,,10382aaaabc,55400,180,3275,79
2,15,original sound - Sophie,"fypage, fyp, viral, trendy, grwm, makeup, blowup, influencer, follow, beuty",sophiee_grwmm,106000,0,10000,197
