batch,index,music,hashtag,author,likes,comments,shares,saves
1,1,original sound - divin,,ellielobio,238100,473,21200,622
1,3,nhạc nền - Kiara,"salishmatter, hudsonmatter, saysaymatte, saymatte, fatherdaughter, date, daughter, mydaughter, viral, trending, fyp, saysaymattter",kiara_fanus,307600,1187,24900,624
1,5,Let Me Down Slowly - 腾金涛,,xunitaloli,2672,152,517,46
1,8,bounce (i just wanna dance) - фрози & joyful,"afro, naturalhair, afrohair, hairdrying, curlyhair, washday",bigheadjustice,28200,186,2466,32
1,9,original sound - KhianKB,"badpeoplescardgame, dycegamespartner, edno, khiankb, comedy, funny",khian.kb,337100,1104,35900,4315
1,10,original sound - 𝒎𝒊𝒏𝒚𝒊𝒏,"capcut, foryou, childhood, missyou, fyp%E3%82%B7, foryou, plsviral, fy, foryourpage, fy, fyp",charlfonds_,276400,2523,42400,2706
1,11,original sound - JustinFlom,,justinflom,41500,954,2596,596
2,0,XDDCC - Gooseworx & Evan Alderete,"bluey, blueytok, blueyheeler, blueyfanart, blueyclips, blueyanimation, animation, shorts, cute, procreate, cartoon, artistsoftiktok, art, shortclips, original, procreateanimation, procreatedreams, blueychilli, blueymom, blueymoments",artsdoodle,1800000,6308,269900,28600
2,1,Salsa Party 1 - Intermede Music,"vegas, lasvevas",immarcomurillo,744500,8821,40700,51700
2,3,Hurts Me (Alone At Prom) - Tory Lanez,", ghd, stylingtips, straightenercurls, flatironcurls, howtocurlhair, haircurltutorial, hairtok, curlingwithastraightener",ghdofficial,387300,815,130800,15000
2,4,"Painful, crying piano music with ambient sounds(1292263) - syummacha","truecrime, gypsyrose, gypsyroseblanchard, truecrimecommunity, truecrimeallthetime, crimetok, foryou",crimetimeteatimewithbree,124700,917,6037,871
2,9,Work (Originally Performed by Rihanna Ft. Drake) [Instrumental Version] - Hit The Button Karaoke,"sprinklesprinkle, shera, sheraseven, relationship, relationshipadvice, golddigger, richmen, rich, money",sprinklesprinkleclips,855100,4422,41600,19600
2,14,Oh No No No Laugh - Sound Effect,"elleking, grandoleopry, nashville, countrymusic, dollyparton, tributeshow, countrymusictiktoks, cancelled, dollyfam, dolly, drunk",jamiek721,88700,5043,5910,8913
2,19,From The Start Laufey - chris(ur fav Lauver),"@msmerli, foodporn, food, foodlovers, foodlover, foodieph, foodie, delicious, fyp, tiktokfood, foodtok, recipe, cooking, foodlover, delicious, yummy, abimarquez, desser, tanghulu, fruit, snack",abigailfmarquez,1700000,10100,368500,65500
2,20,original sound - Nayib Bukele,,nayibbukele,155200,4273,8545,5454
1,0,Yellow - S l o w e d • S o n g s,"dogsoftiktok, doglovers, petsoftiktok, petlovers, cutedoggy, dog, fyp",kristynjiggy,377000,161900,147900,29700
1,6,Love You So - The King Khan & BBQ Show,,chypdeplo1,3300000,58700,656800,88400
1,7,original sound - KEEMOKAZI,onthisday,keemokazi,299500,1704,31500,1014
1,8,original sound - Blondemilkman,kaneandprymrr,kaneandprymrr,31900,317,4433,190
1,9,original sound - EX7STENCE™,,claraa.lndz,426200,2500,53400,2658
2,0,original sound - Scrub Momma,"beyonce, grammy2024, fyp, jayz, beyhive%F0%9F%90%9D, greenscreen, beyoncegrammy2024",scrub_momma1,48100,6267,5205,700
2,1,"Love Is Gone (feat. Dylan Matthew) (Acoustic) - SLANDER, Dylan Matthew","trauma, love, viral, foryou",mightyyyymouse,104100,4960,17800,8422
2,2,original sound - CELEBFAIL,", alaskaairlines, emergencylanding, planecrash, airtrafficcontrol, pilot, airplane, portland, mayday, distresscall, sos, boeing737, passenger, alaska1282, flight1282, scarystory, terrifying, capcut",celebfail,754300,5263,70200,13600
2,8,Ethereal - Txmy,"loseweight, weightlosstips, healthtips, diettips",yourpositivehealth,8834,143,2490,1302
2,9,Hoist the Colours - Bass Singers Version - Bobby Bass,"northsea, explore, adventure, fyp, foryou",ourplanet.8,142200,2952,14400,5295
2,12,Nuvole Bianche - Yuval Salomon,"viral, fyp%E3%82%B7, parati, tiktok, fyp%E3%82%B7%E3%82%9Aviral",robertoleo88ofical,90600,4206,10200,54300
2,13,original sound - Dark Predictions,"fyp, venturabeach, california",darkpredictions,68700,3351,5033,5413
2,15,original sound - Darktales Animations,"animationmeme, inflation, shopping, unitedstates, usa, fyp, worklife, companies",dark_tales0,580100,8258,50100,29500
2,18,Hard News - DM Production,"patrickmahomes, chiefs, taylorswift, swifties, riristea, rivetsoro",riristea,217200,304,5025,252
1,0,Following just the New tiktoker - TikTok Queen🇧🇪 🇮🇹,ladykaylive,lady.kay_,47300,27100,9825,14000
1,3,original sound - Football Clips 🔥,"patrickmahomes, chiefs, superbowl",atfootballclips,447600,1737,21600,3144
1,4,original sound - nurse.johnn,"nursejohnn, nurselife, nursesoftiktok, nursehumor, nursetok, nurseproblems, nursing, nursingstudent, nursingschool, healthcareworker, healthcarehumor, hospitallife, hospitaltiktoks, medicalhumor, medicaltiktok, fyp, foryou",nurse.johnn,631500,2408,26600,14300
1,6,"Creepy piano, ghost story horror ambient：L(1025873) - cowaii - Fear music encyclopedia","greenscreenvideo, 2024, blizzard, chicagoblizzard, fyp, chicagoweather, chicago, freezing",metacowboy,157100,4611,14600,12700
1,7,original sound - haley <3,"bills, buffalobills, joshallen, stefondiggs, fyp, nfl, foru",haleyy.vfx,102200,1338,8045,202
1,8,Work (Originally Performed by Rihanna Ft. Drake) [Instrumental Version] - Hit The Button Karaoke,"sprinklesprinkle, shera, sheraseven, relationship, relationshipadvice, golddigger, richmen, rich, money",sprinklesprinkleclips,855000,4422,41600,19600
1,10,original sound - Attorney Pish,"lawyer, law, facts, tips, learn",attorneypish,233200,14700,9834,3832
1,12,sonido original - Chava Pichardo,"toyotahilux, toyota22r, offroad, 4x4, todoterreno, viral",chavapichardoof,47500,502,3031,1234
1,15,"Painful, crying piano music with ambient sounds(1292263) - syummacha","truecrime, gypsyrose, gypsyroseblanchard, truecrimecommunity, truecrimeallthetime, crimetok, foryou",crimetimeteatimewithbree,124700,917,6037,871
1,17,sonido original - 🕊️ Wawacon 🕊️,"greenscreen, operativogavilan",wawacomfamily,1198,199,68,59
1,18,original sound - Nayib Bukele,,nayibbukele,155200,4273,8542,5453
1,21,original sound - Kadisha🕷️,"fyp, kattwilliams, christucker, jeffreyepstein",kadishalynnnn,200700,2450,20400,8241
1,23,เสียงต้นฉบับ - nad♡inem - 𓇼,bracelettutorial,yarnivora,2100000,4004,897600,35700
1,25,MGK freestyle whos in my top ten machine gun kelly - mgkmagic,"machinegunkelly, mgk, colsonbaker",mgkmagic,30700,401,3338,1233
1,26,sonido original - 🕊️ Wawacon 🕊️,"greenscreen, santiagomatiasburundanga",wawacomfamily,2049,346,96,73
1,28,"Suspense, quiet urgency, suspicion, investigation：L(1029430) - cowaii - Fear music encyclopedia","superbowl, 49ers, baltimoreravens, conspiracytiktok, leaks",grace.mitscherlich,68400,1872,6242,3989
1,29,XDDCC - Gooseworx & Evan Alderete,"bluey, blueytok, blueyheeler, blueyfanart, blueyclips, blueyanimation, animation, shorts, cute, procreate, cartoon, artistsoftiktok, art, shortclips, original, procreateanimation, procreatedreams, blueychilli, blueymom, blueymoments",artsdoodle,1800000,6308,269900,28600
1,30,original sound - Jessica Weslie Arena,"greenscreen, taylorswift, traviskelce, taylorswifttraviskelce, patrickmahomes, brittanymahomes, fyp",jessweslie,9901,680,404,613
1,0,original sound - Corey O’Brien,"@aldctherealabbylee, fyp, dancemoms, abbyleemiller",corey_obrien,404400,3354,46400,5034
1,5,original sound - Marianna Ponce,"fyp, foryoupage, fyp%E3%82%B7, lol, omg, relateable, justjokes, trending, nieceandaunt, justforlaughs, kidsaaythedarnestthings, kidssaythefunniestthings, kidsbelike, viral, notthatserious, fake, advicefroma6yrold",mariannaponcee,813500,14300,68600,90900
1,6,original sound - Owen Lynch,@itscamillaara,hahowen,13000,95,1968,63
1,7,original sound - Nikky 💔🥲💙💔🖤💔❤️‍🔥💔😢💯✅,berbypicxy,berby_picxy,295000,1121,9881,3277
1,10,original sound - RANGO TENGE TENGE ⭐️ star,"@rangotengetenge, @noelgoescrazy",julietnakiyaga29,7239,65,626,354
2,1,оригинальный звук - никто,,realburnttoasthehe,114100,465,15200,663
2,4,original sound - KhianKB,"@trufru, @drinkolipop, trufrupartner, edno, khiankb, comedyvideo, funny",khian.kb,731900,3631,61200,20200
2,7,i was only temporary 2 u - my head is empty,hopecore,thevisiondriven,6500000,19000,907000,54000
2,8,Scooby Doo Pa Pa - Los Lumaquinos Alegres,"preenchimentolabial, biglipshack, hacks, makeup",polukag,434200,3672,37000,2964
2,9,Brutus (Instrumental) - The Buttress,"horror, scary, creepy, spooky, haunted",horror.story.x,93900,7482,29700,2437
2,10,original sound - bio,"everythingclinton, realclintianoo",everythingclinton,3166,1214,190,36
2,15,original sound - Lucas_Marcus.officie,,_lucas.marcus_fanpage,11500,98,1854,33
2,18,original sound - katie,"duet, fyp, bashtheentertainer",bashtheentertainer,58100,1264,5027,1204
2,21,son original - ♥️cute♥️,"funnybabyvideos, rire, lovebaby, pourtoi, failfyp%E3%82%B7%E3%82%9Aviral, capcut",so.cute.funny,815100,6053,95900,32900
3,0,original sound - Death Whistle King,"aztecdeathwhisle, deathwhistleking, jazz",deathwhistleking,36600,206,7222,368
3,1,original sound - Hahafunny123,"meme, funny, viral, fyp, xuhuong",haha567usa6,1100000,3551,115400,6340
3,6,original sound - Queen_already1,"mumof3%F0%9F%91%8C, fyp%F0%9F%98%9C%F0%9F%98%9C%F0%9F%98%9C%F0%9F%91%8C%F0%9F%91%8C, princess_already1, queen_already1, africanparents",queen_already1,34600,342,1576,728
3,9,Monkeys Spinning Monkeys - Kevin MacLeod & Kevin The Monkey,"@khayemalpjr1, americanaccent, africanaccent, fyp%E3%82%B7, fyp, accentchallenge",proxyrod,95300,1450,9535,5877
3,10,sonido original - Funny’s is going with me,,baby_ok122,639100,1729,38700,3752
3,12,original sound - Gee Gee,"momson, singlemomlife, onlychildlife",sjqquue7288n,2600000,24600,120800,25700
3,13,original sound - nice ideas,"lovely, shoot, monloveoho, tabu, moon, moulaga, trendinghub, foryoupage, funny, bestideas, ideatimes, handmade, satisfying, slowmo, foryou, learnontiktok, fyp%E3%82%B7, cool, fypage, viral, fyp, asmr, fany, lifehacks, crazy",nice.ideas0,204700,723,15600,2426
3,14,original sound - just sports,"loyaltytest, fyp, money, boyfriend, foryou, girlfriend, foryoupage",justsports45,66500,315,4393,763
3,18,original sound - Joey Nero,"fyp, foryou",joeynero,1100000,6663,88000,9698
3,19,original sound - Zach Choi,"asmr, cooking",thezachchoi,1400000,11900,201200,49800
3,20,original sound - laughFlix,"foryou, fyp, viral, movie, tv, film, xyzbca, game, storytime, dharmann",moviemirth,362500,1798,33800,769
3,24,son original - ANATOLY,"anatoly, gym, pranks, cleaner, thebest, f%C3%BCrdich",vs_anatoly,1300000,6054,48600,22200
