batch,index,music,hashtag,author,likes,comments,shares,saves
1,0,Candyman (Ultimix Mixshow) - Christina Aguilera,"fyp, nflfootball, chiefs",thosereallycoolbffs,4400000,43800,668800,121800
1,1,original sound - Mind Blowing Facts,"randomfacts, learnontiktok, factsyoudidntknow, random, facts, curiosities, satisfying, relaxing, lifesaving",mindblowingfacts16,117200,15200,14000,149800
1,2,son original - 💐𝐵🪐,,brookemonk_,3500000,6301,164600,8392
1,6,original sound - Jake,"fyp, fyp%E3%82%B7, fyp%E3%82%B7%E3%82%9Aviral, pledge",jacobjames_330,669400,2352,29500,2979
1,7,original sound - Gio + Emmy,"fyp, fyp%E3%82%B7, foryou, parati, lol, dog, doggo, justajoke, dogs, dogsoftiktok, dogtok, dogmeme, pet, pets, petsoftiktok, chihuahua, chihuahuas, chihuahuastiktok, viral, blowthisup",trashygas,111900,2139,13400,1891
1,8,original sound - BritishBantz,,brookemonk_,688300,1816,44700,1705
1,9,original sound - Angel Jimenez,,jimenezzz._,361200,3309,30500,5314
1,10,Funny - Gold-Tiger,"@masyn.reeves, fortnite, fortniteclips, fortnitekid, gamingfamily, gamingdad, fortnitepro",theperkybee,10100,382,625,252
2,0,original sound - Milrose,,milrosemusic,125100,1231,17900,1250
2,1,Possibility - Lykke Li,"fyp, simonloga, paytonbleskacek, greifjourney",girlygirl263704,708300,4834,34400,1124
2,2,New Home - Frozen Silence,profoundautism,eileen.lamb,40000,659,3198,169
2,7,original sound - Ramzan Jani Official,"mehakshehzadi_, shamsakanwal_1, viralvideo",shamsakanwal_1,20600,257,911,37
2,8,original sound - Madeline,,madlovesripley,1100000,6383,67500,40200
2,9,original sound - KEEMOKAZI,,keemokazi,628700,2579,54600,840
2,10,original sound - Kriss&Esme,"grwmroutine, grwm, getreadywithme, schoolrules, schoollife, grwmforschool, grwmmakeup",krissleos,704600,6184,57600,616
2,13,kai bomboclaat - 6’2 with dreads btw,,yyyudy,227100,2318,18500,3102
2,14,Where you are (Vocals only) - Halal Beats,,thehalalchoices,195200,42100,21000,26800
2,18,"No, No, No Pt. 2 (feat. Wyclef Jean) - Destiny's Child","fyp, fyp%E3%82%B7, wine, nonononono, idontevendrink, imokay, momsoftiktok, boricua, boricua%F0%9F%87%B5%F0%9F%87%B7, justforfun, nyc, bronx, trendingtiktok",beebabyyy_,2900000,18700,134000,129699
2,19,Sweet but psycho(抖音完整版) - 苏瞳,"makeup, grwm, allstarcheer, allstarcheerleading, grwmmakeup",haleigh.booth,99300,805,5496,713
2,20,original sound - kardashianicon,"kimkardashian, kardashians, family, foryoupage, viral",kardashianicon,134600,434,7241,181
2,23,original sound - 💸Original Dubai Housewife💸,"rich, husband, luxury",lionlindaa,157600,1107,8877,1813
2,26,original sound - ubuh,"fyp, foryou, acting, pov",ubuh58,13700,175,3090,165
3,2,original sound - Gabriel Sey,"momsoftiktok, momlife, mom",andreaespadatv,64500,0,5577,564
3,7,Let It Fly - Mr. Thank You,tiktoktrend,mr.thank_you,51500,2362,4565,644
3,10,Fireball Challenge - 🕺🏼Hoodie fam🌏,,kamelahill,255100,2976,11000,6003
3,13,Chill Vibes - Tollan Kim,"tiktokshop, pickshop, fyp, trending",autumnnmonique,110600,1404,13200,282
3,17,original sound - allieandnoah,"viralvideo, allieandnoah, funnyvideos, trends, husband, prank, respect, tiktok, fun, friends",allieeandnoahh,51100,842,4310,2966
3,19,original sound - Colin French,"fyp, foryou, foryoupage",taymccomish,1100000,2900,75100,14900
3,21,You've Never Had Chocolate Like This - Timothée Chalamet & The Cast of Wonka,,redlabricky,2100000,4034,113400,18200
3,25,original sound - FireDeptChronicles,"potato, face, ems",firedepartmentchronicles,1900000,3004,115700,8263
3,26,original sound - Dog,"dogs, puppy, dogsoftiktok, dogsvids, doglover, doggo, dogtok",daily.furry.friends,250000,408,32800,1892
3,27,original sound - KEEMOKAZI,,keemokazi,952100,4029,57800,807
3,28,оригинальный звук - ㅤㅤㅤㅤㅤㅤㅤ,"@showtimebaba, @yohan_lbt, diamantblazi, seckoff, fyp, foryou, dunk, bball, basketball, trio, challenge, viral, trend, florida, usa, floridabasketball, usabasketball",diamantblazi,2000000,9678,149400,8971
4,0,KBLAST BACK IT UP - Blast2.0,,thepantonsfamily,139000,498,13900,141
4,1,original sound - Sexyish💕,"nadiaj, fyp",notnadiajocelyn,68500,323,4747,419
4,2,original sound - Jaden,,jadenrabago,154500,470,10900,1817
4,6,original sound - nevaeha,"grwms, foryoupage, grwmtofight, storytimegrwm, realtable, nevaehachristine, grwm, confrotingcheatingbf, blowthisup, grwmmakeup, grwm, school",neevaeha,17500,432,1631,33
4,8,Beyond the Sea - Bobby Darin & Richard Wess And His Orchestra,"flighttips, cabincrewlife, freebies",jeenie.weenie,767000,1721,64300,928
4,10,original sound - Toni Maguire,@laura._.petersen,dreydrey0711,810600,17900,77500,10100
4,11,PITCH THAT ASS - MR. OH MY GAWD 😎,"@wowangel_wig, foryou, fyp",imkaiifoo,42900,477,4466,84
4,12,cruel summer sped up - r & m <3 ⸆⸉,"@taylorswift, @lelepons, @vegas, sbinlv",hannahstocking,125800,220,5052,128
4,15,original sound - Kriss&Esme,"@theofficialhairlab, thehairlabpartner, thehairlab, walmartfinds, dryscalp, dryhairtips",krissleos,74900,277,9903,400
4,22,nhạc nền - Momoland,,ohikio1,726900,15700,144200,42600
4,23,original sound - ubuh,"fyp, foryou, acting, pov",ubuh58,118200,596,21600,444
4,24,original sound - Ryan Lombard,"freecomedy, @ryanhdlombard",the_mannii,24000,144,1890,86
4,26,original sound - Clinton🤴🏾❤️,"kingangikenya, kingangi_official",kingangi_official,113000,49900,11500,29200
5,0,nhạc nền - Pets_So Cute😻,"pet, cat, dog, cute, animals, foryou, typ",pets.socute98,86000,517,16200,1482
5,1,som original - kenedy,"malcominthemiddle, that70sshow, ericforman, donnapinciotti, clips, movie, firstlove, edits, exploree, fyph, netflixseries, netflixmovies, movieedit, 13goingon30, joshhutcherson",filmsgilmore2,1500000,3117,187700,7462
5,6,Originalton - Moritz Veronika Xaver,"mvx, moritzveronikaxaver, singen, musik, gesang, f%C3%BCrdich, thegreatestshowman, rewritethestars",wearemvx,217600,531,23900,671
5,9,som original - netobaetas,,netobaetas,137100,625,7521,395
5,10,original sound - Jodie Langel,"singing, singinglessons, vocalcoach, meangirls, worldburn, fyp, belting, theatrekid",jodielangel,560700,873,26300,1123
5,12,original sound - Lala,"foryou, fyp, school",lala_sadii,315300,2672,18200,205
5,13,original sound - Ally Purugganan,"thrift, thrifted",allyduhrey,774500,3854,79100,5952
5,14,som original - Danniel Campelo 💎,"@gabrielly_campelo, foryou, foryoupage, humor, viral, comedia",dannielcampelo,292300,1224,17600,1962
5,15,som original - rex rex,,rex_z77,1300000,8570,65800,4379
5,16,IT GIRL x Sexy B by L BEATS - DJ L BEATS,"@__bexbeauty__, @prettytheycentral, transitionbts, transitiontutorial, transition",luseeyalu,142900,866,13800,209
5,18,original sound - Daniela,"fyp%E3%82%B7, lululemon, foryoupage, viral, abcxyz",kaitlyn.on.top,662100,2127,44700,1170
5,19,som original - ☠️,"motomoto, escolapublica, cirilaemariojoaquino",dud4zz67,1100000,3485,62500,2536
5,21,original sound - KEEMOKAZI,,keemokazi,244700,1035,18400,462
5,23,som original - Raphaela Diniz,"vaiprofycaramba, viral, fyp%E3%82%B7",raphaela_diniz,489000,2543,27300,878
5,24,оригинальный звук - ㅤㅤㅤㅤㅤㅤㅤ,"baloncesto, fyp, basketball, dance",rubenrg_4,339300,1204,20200,2747
1,0,original sound - Kriss&Esme,"onedipmakeupchallenge, onedipchallenge, onedipmakeup, makeupchallenge",krissleos,293700,794,19500,348
1,1,original sound - Fabio&Ben,"@faffapix, @itsbenreid, fyp, fabioandben, reaction",fabioandben,667300,3459,56800,4211
1,2,original sound - emma,,choiemmaa,2400000,12800,152500,2728
1,3,Fireball Challenge - 🕺🏼Hoodie fam🌏,"@venu_des, yxnow, fyp, fireball, dance, kpop",yxnow.crew,130300,1860,12800,918
1,6,Emotional - Bang Nono,"mama, grandma, help, police",laugh.life.away,369200,16600,47000,14400
2,0,Monkeys Spinning Monkeys - Kevin MacLeod & Kevin The Monkey,fyp,toodirtydom,2900000,23600,180800,25000
2,2,original sound - Joe fazer clips,"joefazer, height, traveltiktok",joefazerclips,1400000,13100,79300,1930
2,5,original sound - Lishyy,"target, christmas, twins, mommy",lemonseed22,781100,5261,25600,18900
2,7,original sound - Roy Dubois,"fyp, foryou, foryoupage",roydubois_,29700,337,4846,155
2,8,Funny lazy donkey (hilarious song)(937200) - LEOPARD,"@brideydrake, @michaeldrake1, brideyandjiny, jinyandmichael, humour",jinymaeng,622700,1174,33300,777
2,11,original sound - Anni C,"hoodchristmascarols, christmas, delulu, justagirl, coquette",anni._.c,1800000,15400,321600,26500
2,14,Boundless Worship - Josué Novais Piano Worship,fyp%E3%82%B7,theewilsons,270100,1314,15600,662
2,16,original sound - Zach and Pat Valentine,"downsyndrome, brotherlove, wholesome, family, vacation2024",valentinebrothers,211700,1107,15000,411
2,23,sonido original - _amix1632,"capcut, @ariancita._.oficial, @lamartinitasiemprehappy, @artamios",_amix1632,93400,1180,16300,756
2,24,original sound - 🤷🏾‍♀️,,weirdgirl17fr,487100,4029,28400,4679
2,25,original sound - albert_cancook,foodtiktok,albert_cancook,1100000,2828,143500,20600
2,26,RAHHHH (sped up) - alt!,"fyp, foryou, xyzbca",sharkywarkybarkbark,2400000,12400,235700,18200
2,27,original sound - ari🌅🌞🐚🦈,"gta, grandtheftauto, boyfriend, girlfriend, grwm, makeup, skincare, haircare, hairgrowth, storytime, ootd, outfit, summer, summer2023, fyp, foryou, viral, trending, florida, vsco, beach, beachgirl, shopping, vacation",ari.giselle333,151000,750,15800,1020
3,1,original sound - Pumba Caracal,,pumbacaracalofficial,37500,501,2495,962
3,5,original sound - Big Hermano,"fyp, latinagf, boyfriendsbelike, datingalatina",kyleorive_,1000000,2013,89400,14400
3,6,original sound - Derek Lipp,,dereklipp_,134500,623,9396,1826
3,8,original sound - Syd Brow,"hack, tubingmascara",sydnerellaxd,492900,1832,30400,2436
3,9,Chill and gentle lo-fi/10 minutes(1455687) - nightbird_bgm,"foryoupage, john_millionaire44, viral, usa%F0%9F%87%BA%F0%9F%87%B8, uae%F0%9F%87%A6%F0%9F%87%AA, uk%F0%9F%87%AC%F0%9F%87%A7, france%F0%9F%87%AB%F0%9F%87%B7, standwithkashmir, burhan_tv, unfrezzmyaccount",john_millionaire44,113200,1916,9238,2261
3,11,original sound - The Mannii Show,freecomedy,the_mannii,33500,369,4489,665
3,13,nhạc nền - Celeste,"fyp, fyp%E3%82%B7, catsoftiktok, cats, cat",celeste._666,7700000,78900,527300,198100
3,15,original sound - dbek,"@_alexciagresko, blaiseeeeeeeeeeee, couple",blaiseeeeeeeeeeeee,578900,5510,45100,10100
3,16,nhạc nền - No,,shellygibbs19821,325500,253,23400,932
3,17,dark horse - senia,"gymcouple, couplesgoals, viral, fyp, gymgirl, gymrat, fitnessmotivation, fyp%E3%82%B7, spot",anjagrows,67800,127,6278,591
3,18,sonido original - halo,"diamantblazi, seckoff, bball, basketball, fyp, dance, gamewin, gameday, viral, foryou, trend, floridabasketball, florida, usa, usabasketball, trio, dunk",diamantblazi,2600000,14600,193000,13200
3,20,Fallen Down - Toby Fox,"fyp, facts, randomfacts, usa",factsphere0,102900,19800,12900,117700
3,21,original sound - Lala,"foryou, smoothie, avocadosponserme, fyp",lala_sadii,164000,1576,8074,160
3,22,METAMORPHOSIS - INTERWORLD,"physics, teacher, school, fyp",knowledgeunlimited19,1700000,5414,141700,10500
3,25,original sound - ꨄ Skyy ꨄ,"laylowjacksonandmiya, edit, cheating%3F, wtosquad, nomoretags",skyyluhvss,23000,385,3624,67
4,0,original sound - ALIZA,"inalizawetrust, fyp, hispanicparents",alizasolosu,293900,682,13500,1998
4,3,original sound - Kayle_jessica,"pov, brianna, diy, crafts",kayle_jessica,26700,8849,4641,595
4,10,original sound - AfroSamuraiT,"lifehacks, lifehack, ksi, prime",afrosamuraitt,280100,23900,67400,1136
4,14,original sound - chazzy📵,"school, lol, fyp, viral, trend",keekee.da_best,70100,225,11000,466
4,15,original sound - Regan,"wildwest, hilltop",cl3opatraaa,1600000,43900,103800,64500
4,17,sonido original - Ale Pinedo,@botsito410,alepinedotv,61900,443,4963,238
4,19,original sound - JoeWayyy,,joewayyy,574900,2865,61900,4533
4,20,original sound - Amy Pohl,"onthisday, prank, comedy, reaction, imstuck",amyepohl,169500,1402,15600,3394
4,24,womanizer x pony by altegomusic - ALTÉGO,,_cjma,228700,651,21300,395
5,0,sonido original - ADELEMX,"rollinginthedeep, adele, adeleadkins, adelefans, adeletupatrona, fyp",adelefanpagemx,6300000,32400,601400,37800
5,1,original sound - TizzyEnt,,tizzyent,198300,11200,6653,16100
5,3,original sound - Pubity,"pubity, @viralhog",pubity,1300000,19000,65200,11400
5,5,original sound - Mike Landolt,"wow, laineywilson, roadrunner, loveit, %E2%9D%A4%EF%B8%8F, countrymusic, tiktok, love, follow, like, explorepage, likeforlikes, letsgo, trending, music, cute, music, likes, lfl, repost, followme, foryou, loveyou, foryoupage, fyp, viralvideos, tik, tok, fy, fyy, country, livemusic, like, star, concert, fan, concerts, fans, video, new, fun, fire, mustsee, musicvideo, singer, famous, pretty, hot, perfect, country, countrysinger, nashville, countrygirl, instagood, beautiful, happy, fyp%E3%82%B7%E3%82%9Aviral, virall, viralvideo, viraltiktok, fyppage, repost, perfect, laineywilsondumptruck, lainey, queen, laineywilsonmusic, dance, dancing, laineywilsonconcert, crowd, passion, superstar",livingthegoodlife24,508600,1912,23700,2675
5,8,original sound - Swifties Taylors fans,"@taylorswift, vmas, taylorswift, arianagrande, jlo, showmustgoon",swifties200,160800,654,6900,394
5,10,Epic Music(863502) - Draganov89,"recipes, tumeric, fyp, usa, southafrica, naturalremedies, healthtipstiktok",changeyolifetoday,38700,380,19300,20300
5,11,Cinematic Music - dN. Chandrawinata,,luismoralesministries,75700,1858,14200,42100
5,16,"Spooky, quiet, scary atmosphere piano songs - Skittlegirl Sound","success, motivation, mindset, health",clips.motive,237500,7181,48800,27700
5,17,Hoist the Colours - Bass Singers Version - Bobby Bass,"northsea, explore, adventure, fyp, foryou",ourplanet.8,143700,2998,14600,5459
1,2,original sound - Caitlin,"weregirls, @deartoridear",caitlin_chipmunk,4300000,26700,347500,123700
1,3,original sound - Tate Sweatt,,tatessweatt01,604500,1912,35100,9902
