batch,index,music,hashtag,author,likes,comments,shares,saves
1,0,original sound - REEKON Tools,,reekontools,643400,3888,105600,77700
1,1,all the time - 🌟,fyp,ericaaajeannn,106200,1091,6340,131
1,2,Originalton - ✰,"lowrisejeans, flarepants, skims, jewelry, hairstyle, ootd, outfitinspo, makeup",leanortizz,1300000,4210,98500,4142
1,3,Think u the shi b you not even the fart - Songs4u.16,,icespicee,505000,10400,26000,1592
1,4,original sound - BraceFaceT🤤,,bracefacet4,4099999,51900,212300,223000
1,5,Recess - 🎧,"fyp, fyp%E3%82%B7, melaniemartinez, trending, ifondo",07.mo0n_,83100,992,12900,313
1,6,Limitless. - Prince Mathicks,"@dragosaurusrex123, greenscreen, devilmaycry, nunchucks, dante, karate, combatsports, sensei_jefree, senseigeoff, martialarts, fyp",senseijefree,14300,269,800,18
1,7,Mmm Mremememew Memew - yulia,ianumeh,ianumeh,6200000,124300,564300,531600
1,8,Chakalitos - Angi Fire & Tilin Insano,,picusoficiaal,312500,4004,22800,781
1,9,original sound - Marrkadams,"marrkadams, comedyvideo, funny, fyp",marrkadams_69,63700,225,13000,789
1,10,Don Pollo Ahh Sound (feat. Don Pollo) - Producer of Ohio,"@food_wold, fyp, meme, donpollo, funny, chicken, xyzcba, viral, comedy",pengimani69,363000,4548,50200,13300
2,0,never slowed - slowedaudios🖤🤍,"incredible, island, interesting",this.our.planet,1400000,21700,113000,37200
2,1,original sound - Toons Tunes,"funny, funnyvideo, funnyvideos, fyp%E3%82%B7",funnymi.i,4279,126,447,1193
2,2,original sound - 𝙋𝙡𝙖𝙧𝙯💥🔝,"5m, fivem, tommorowaintguaranteed, gtaroleplay, tagrc, grizzleyworld, gta5rp, gtarp",5m.plarz,17300,218,3163,111
2,3,original sound - Oleh | Volleyball 🏐,"volleyball, prank, cleaner",oleh.athlete,478900,413,23700,935
2,4,Morsmordre (ZHANG JUN) - ZHANG JUN,"xuhuong, giaitri, video, learnontiktok, fyp",thuzi.ha,49400,67,3830,136
2,5,original sound - IsaacBukasa12,,keni4676,2300000,122900,252000,184900
