batch,index,music,hashtag,author,likes,comments,shares,saves
1,0,Rich gang - Sufferryanyt,,b.e.n_rl,206800,5767,16200,6795
1,3,Summer party (20 seconds) - TimTaj,"chocolate, ferrerorocher, sweet",bestsecretmunch,50400,787,24200,3123
1,4,Monkeys Spinning Monkeys - Kevin MacLeod & Kevin The Monkey,"@khayemalpjr1, americanaccent, africanaccent, fyp%E3%82%B7, fyp, accentchallenge",proxyrod,94200,1445,9390,5838
1,7,Magnetic Field 396 Hz - Yotam Agam,wisespade7,plmatter,95700,805,7651,2188
2,7,original sound - MindsetMaveric,fyp,alexashabs,157,63,3,1
2,10,Face Dance - Funny Tok,"arnezj, arnezjcomedy, childhoodmemories, standup, standupcomedy, funny, fyp",laughheals,31800,1325,3375,5914
2,11,original sound - zxrswd,"kaicenat, fyp, viral, twitch, foryou, fyp%E3%82%B7",zxrswd,83400,2824,8391,34300
2,15,sunet original - LukeDidThat,,lukedidthat.com,78500,794,6579,682
2,18,Asn - thsituan._.,,yk.quotezz_,36400,285,3344,93
2,19,original sound - not your favorite biker,"fyp, viral, bordercrisis, kennyboyinthe608, notyourfavoritebike",kennyboyinthe6084.0,81100,7796,9069,11800
2,20,Christmas Is Coming - DM Production,"santaclaus, emoji, emoticon, keyboarddrawing, typingart",itsonlywendy_,352000,273600,73100,1525
2,21,original sound - Tommy Thanh Bui,"fyp, foryou, tommybui, viral",tommythanhbui,9474,85,616,21
2,24,original sound - liv hales,,oliviaaslifeee,7,0,0,0
2,25,oceans - Sm0ked,"ynwmelly, juicewrld, polog, kingvon, popsmoke, liltjay, freemelly, nlechoppa, roddyricch, lildurk, autotune, love, trending, legend, hiphopculture, vaiprofy, trapbrasil, fy, fyp, fypviral, trap, rap, hiphop, drill, status, capcut",faith.gangg,238300,1859,21500,1260
3,2,suono originale - Panseri Yusuf,hairstyle,panseriyusuf,15500,74,567,25
3,4,original sound - Beverly Hills Comedy Team,,user1530328006877,4063,117,672,117
3,6,Let Me Down Slowly - 腾金涛,"playlet, drama",nb.playlet,47100,233,5652,340
3,8,Fight - BeatBrothers,,wnmmovie,101000,126,12200,111
3,11,original sound - Dre & Lay,@r3db3rry_,andrebourgeixx,139300,2441,9166,223
3,12,original sound - Madison Funk,"teacher, teachersoftiktok, teacherlife, science, fun",mningram13,3,0,0,0
3,13,original sound - Brent Rivera,@queenchelsea,brentrivera,565300,8560,35100,13100
3,15,original sound - Jona,"arab, arabtiktok, muslim, christian",itsjoners,49300,955,5378,671
3,16,original sound - cpuotzw,"fyp, funny, humour, happy, comedia",cpuotzw,48000,185,7827,332
3,17,One Call by Rich Amiri - certified,"fyp, famous, foryoupage, inbenwetrust, trending, makemefamous, foryou, viral",benwentviral,4193,436,1274,33
3,23,original sound - TheMacaulleys,"fyp%E3%82%B7%E3%82%9Aviral, trending, viral, couple, couplegoals, love, boyfriend, themacfamily",__themacfamily__,59700,202,1711,158
4,2,original sound - vy 🍓,"alaska, alaskaair",strawberr.vy,3400000,56100,195700,277400
4,4,original sound - Lynja,,cookingwithlynja,123000,499,10400,981
4,5,original sound - Probably Off Reading 🥰,"stuffyourkindleday, stuffyourkindle, kindle, spookyourkindleday, spookyourkindle, kindleunlimited, stuffyourkindleday2023, stuffyourkindlelist, stuffyourkindlerecs, booktokpsa, booktok, fyp, stuffyourkindletutorial, kindle, kindlebooks, amazonbooks, bookworm, foryoupage, booktok, romancebooks, fantasybooks, stuffyourearbuds, fyp, booktoker, stuffyourkindlelist, stuffyourkindlerecs, witchystuffyourkindle, witchystuffyourkindleday, cozymysterystuffyourereaderday, cozymysterybooktok, cozymysterystuffyourkindleday, whatisstuffyourkindleday",probablyoffreading,27500,129,11800,5510
4,6,original sound - haley 🎀,"joshallen, buffalobills, fyp, foru, bills, joshallenedit, nfl",haleyy.vfx,416400,2479,51100,2821
4,7,original sound - Kadisha🕷️,"fyp, kattwilliams, christucker, jeffreyepstein",kadishalynnnn,200000,2437,20200,8212
4,9,stellar (Slowed + Reverb) - .diedlonely & énouement,"10xhealthsystem, garybrecka, garybreckaedits, garybrecka10x, garybreckaclips, garybreckadaily",breckavids,25700,289,2915,871
4,10,original sound - HepaTitusBA4,hepatitusba4,hepatitusba4,64800,1256,6118,1329
4,11,"Suspense, quiet urgency, suspicion, investigation：L(1029430) - cowaii - Fear music encyclopedia","superbowl, 49ers, baltimoreravens, conspiracytiktok, leaks",grace.mitscherlich,67900,1849,6178,3979
4,14,It is a long song with a strong mystery.(1041687) - syummacha,"lanadelrey, musicindustrysecrets, darkhollywood, scary, creepy",grace.mitscherlich,507500,7550,71800,5244
4,15,"Painful, crying piano music with ambient sounds(1292263) - syummacha","truecrime, gypsyrose, gypsyroseblanchard, truecrimecommunity, truecrimeallthetime, crimetok, foryou",crimetimeteatimewithbree,124400,912,5999,868
4,17,original sound - Attorney Pish,"lawyer, law, facts, tips, learn",attorneypish,230400,14600,9601,3793
4,18,Tuyo (Narcos Theme) - Rodrigo Amarante,"griseldablanco, griselda, narcoseries, sofiavergara, seriesnetflix, netflix, nerflixfrance",tubarco,11000,76,664,508
4,23,original sound - Matthew and Paul,"@violifeus, violifepaidpartner, livingtheviolife, blind, couplegoals, dairyfree",matthewandpaul,13800,143,377,26
4,25,original sound - Dave Ramsey,"sportscar, carsoftiktok, moneyadvice, wealthymindset",daveramsey,464200,2762,24300,2065
4,26,"original sound - Dr. Brian Hoeflinger, MD","doctor, fyp, lifestyle",doctorhoeflinger,1200000,5755,50900,13000
4,28,Salsa Party 1 - Intermede Music,"vegas, lasvevas",immarcomurillo,742100,8787,40600,51600
4,29,"„The Four Seasons"" - Winter - part 1 60"" (Vivaldi) - Orchestra of Classical Music","leftovers, bacteria, fridge, kitchen, leftoverfood, food, dinner, lunch, cook, cooking, tupperware, bacteria, trueorfalse, madamesweat, madamesweatisconcerned, kitchentips, kitchentip, cookingtip, cookingadvice, oldwivestales, debunking, safety, foodsafety, cookingsafety",madamesweat,68800,1710,10300,16900
1,0,오리지널 사운드 - 小师妹是我,,wanyomori4515,8960,18,313,46
1,3,som original - netobaetas,,netobaetas,399700,1374,23100,1973
1,6,midnight sun (ramzoid x hal walker) - ZOID LAND,"@alfikator, tech, techtok, gamingsetup",dantic_,877800,2317,88200,1778
1,7,death bed (coffee for your head) - Powfu & beabadoobee,"mentalhealth, corecore",emotionarch,204500,2359,31000,1288
1,8,original sound - The Crazy Gorilla,"stanleycup, stanley, water, @stanleybrand",thecrazygorilla,125100,1654,17500,2839
1,9,original sound - The Rideshare Hub,,ridesharehub,6660,36,693,26
1,10,Love Like Kids - GRAHAM,,graham.mp3,256000,311,21300,278
2,0,original sound - eminem 😉 >>,"fit, fitness, fittok, fitcheck, outfit, outfitideas, lululemon, eminem, polishgirl, poland, polish",imcocolemonxoxo,67000,786,226400,491
2,1,original sound - 2wheeltony7 supreme,,2wheeltony7,3200000,33000,345000,144800
2,5,original sound - Caylus,,infinite,41400,1109,3668,240
2,6,I Have No Enemies - ★DGK132105,,itsmiawaifu,46000,1108,32100,1582
3,3,original sound - ChoiceSelection,"crocs, yeezyslides, quiz, trivia, game, thisorthat, whatwouldyourather",choiceselection,45200,37900,5006,3519
3,4,original sound - Dahliaarissaaaron🙀,capcut,yoomikang4,2,0,0,0
3,5,original sound - pinkshirtgirll,,pinkshirtgirll,134100,869,10400,84
3,6,Living Fast - Alex Fourshee,"fyp, foryou, fyp%E3%82%B7, music",its.fourshee,0,0,0,0
3,7,original sound - Emily Green,,emilygreen10,11,1,0,0
3,8,original sound - baldftw,"karmaisreal, viral, viralvideo, viraltiktok, fy, fyp%E3%82%B7, foryourpage, foryou, fyp%E3%82%B7",baldftw,1329,446,568,282
3,9,original sound - XXXTENTACION,"duet, duet",ly138823b8h,58,11,16,1
3,10,original sound - Tory,onthisday,victoriacardot98,1,0,0,0
3,11,nhạc nền - Biba Bibu,"baby, cutebaby, babytok, babycute, embe, funnybaby, babyboogers, momlife",biba.bibo08,2000000,22600,104200,53300
3,14,“Ethereal” Lil Uzi Vert Type Beat - X Ming,"freestyle, viral, trending, zeddywill",tng_retake,1600000,6563,236300,14800
3,15,original sound - homaraides💕,"green, vs, homa, homaraidess%F0%9F%8C%B8, vs, toma, tomaraides%F0%9F%92%97, cute, raides, %F0%9F%92%9A, vs, %E2%9D%A4%EF%B8%8F, 1, 2, who, dance",dawnanthidar5homa9k6,9136,1007,508,113
3,20,Shape of You - Ed Sheeran,"shapeofyou, coupledance, dance, 08, 07, fyp, elbruso, rge, %EC%B6%94%EC%B2%9C, %EB%8D%B4%EC%8A%A4",nelliyall,689800,1430,80200,6001
3,23,It's Tricky - RUN DMC,,drewdirksen,289100,236,6739,389
4,0,original sound - Your Mom's House Podcast,"yourmomshouse, yourmomshousepodcast, comedypodcast, comedians, jesseleepeterson",yourmomshouse,163800,9929,16800,18200
4,4,Eu Já Sofri por Amor Mas Não Sofro Mais - 2T Da Serra,"chespirito, chaves, fy, futbol",falameutruta,374300,2594,43400,6323
4,5,original sound - Date Right Stuff,fyp,daterightstuff,498400,19100,27400,8090
4,6,Salsa Party 1 - Intermede Music,"vegas, lasvevas",immarcomurillo,742100,8787,40600,51600
4,8,original sound - vy 🍓,"alaska, alaskaair",strawberr.vy,3400000,56100,195700,277400
4,9,original sound - Innerspark,"24, barbaraoneill, naturalremedies",lnnerspark,3017,31,954,587
4,10,original sound - Caitlin Emiko,"iwastodayyearsold, airpodhack, airpods",caitlin.emiko,745700,2967,141000,38400
4,11,som original - Blackracemotos,,blackracemotos,1300000,4521,82600,23400
4,19,original sound - Gossip Girl,"fyp, gossipgirlhere, gossipgirl, chuckbass, edwestwick",tvdgossipgurl,618500,4264,29700,42900
4,22,From The Start Laufey - chris(ur fav Lauver),"@msmerli, foodporn, food, foodlovers, foodlover, foodieph, foodie, delicious, fyp, tiktokfood, foodtok, recipe, cooking, foodlover, delicious, yummy, abimarquez, desser, tanghulu, fruit, snack",abigailfmarquez,1600000,9476,361500,63700
4,25,original sound - Your Mom's House Podcast,"yourmomshouse, disneyland, disneyadult, disney, disneyworld, disneylandcalifornia, disneyworldflorida",yourmomshouse,75500,1408,3526,14600
4,27,original sound - Attorney Pish,"lawyer, law, facts, tips, learn",attorneypish,230400,14600,9600,3792
1,0,sonido original - Jairito Solano,"@aixandreviera, @tibupez.ve, humor, comedy",jairitosolano,101400,365,6053,362
1,3,original sound - Chelsea🦦,,chelsealascher1,147400,876,7745,194
1,4,原聲 - cosplay collector,"genshinimpact, genshin, %E5%8E%9F%E7%A5%9E%E3%82%B3%E3%82%B9%E3%83%97%E3%83%AC, furina, neuvillette, wriothesley, cosplay, fyp",cosplaycollector5,843800,3118,108000,11900
1,5,original sound - McPlayGT,"mcplaygt, fyp, foryou, foryoupage, prank, comedy, trend, trending, viral, asian, pranks, nyc, newyork, newyorkcity, mom, meme, memes",mcplaygt,7739,54,606,14
5,1,original sound - devin appice,,devinappicee,1000000,2155,66200,2540
5,5,som original - Gêmeas e família 💙,gemeaa,asgeemeas,121700,584,7407,403
5,6,original sound - Kaelyn Schneider,"richlife, grwmmakeup, pov, wealth, billionaire",kaelynjschneider,57500,863,5175,248
5,7,original sound - Laugh With Granny,"angrygrandma, funny",laughwithgranny,327300,2636,54800,7516
5,8,original sound - 𝖥 𝖠 𝖨 𝖹 𝖨 ⚡️,"capcut, viralvideo, foryou, foryoupage, unfreezemyacount, 500kviews, plzsupportme, capcutvelocity, ashi",itx_ashi_09,32900,519,3864,102
5,9,original sound - ItsDripKid,,itsdripkid,368700,1794,25600,1004
5,10,original sound - 4ver Nalish♥ - Salish+Nidal=Nalish🫶,"nalishforever, nalishedits, fyp, fyp%E3%82%B7, nalish, viral, nalish, nalishforever",nalish.loverr_,85600,1420,13700,614
5,12,nhạc nền - SAMM & JORDAN,"couples, couplesprank, couplegoals, boyfriendprank, boyfriend, prank",.sammandjordan,11600,79,561,104
5,16,original sound - Salish & Nidal,"salishmatter, jordanmatter, nidalwonder, fyp, viral",salishnidalcute,45600,101,3613,122
5,18,original sound - adrianjvasquez_,"school, pov, teacher, pe",adrianjvasquez_,1500000,12400,145100,16400
5,19,original sound - Zars,"gymsongs, gym, gymtok, fitness, fitnessmotivation, fyp, bodybuilding, motivation",zarsyt,64200,44,3083,168
5,23,Dear Growing Up - John Michael Howell,,johnmichaelhowell,258899,1093,36700,1179
5,24,original sound - ChefPierce 👨🏾‍🍳,fyp,chefpierce,90500,801,9750,338
1,1,original sound - ZENDAYA,,zendilla,2100000,7118,95300,4997
1,3,original sound - Aliyah Marie,,aliyahm411,245100,1146,17500,1143
1,4,original sound - mya ★,"piperrockelle, piperrockellebby, piperrockelleedit, txunamy, familadiamond, txunamyedit, edit, capcut, fyp, foryou, foryoupage",pipersluvas,122500,437,13500,273
1,5,original sound - darkestkon,,princessameliawu,329100,8358,36800,870
1,6,som original - Raphaela Diniz,"vaiprofycaramba, viral, fyp%E3%82%B7",raphaela_diniz,367200,2606,20100,767
1,8,New Home - Frozen Silence,profoundautism,eileen.lamb,39200,634,3059,164
2,0,original sound - McPlayGT,"fyp, foryou, foryoupage, prank, comedy, trend, trending, viral, asian, pranks, nyc, newyork, newyorkcity, new, newtrend, newchallenge, mcplaygt",mcplaygt,18800,51,1642,33
2,1,som original - Katlen,,katlenof,110500,1572,9172,493
2,3,original sound - Matthew and Ryan,"prank, funnyvideos, reaction, couplestiktok",matthewandryanuk,83900,401,5170,399
2,4,Love You So - The King Khan & BBQ Show,"viral, couple, boyfriend, fyp",andrea.lopez44,29400,113,1521,52
2,6,som original - 𝒎𝒊𝒍𝒆𝒏𝒂 💋,,milenaagoms,206200,500,11300,399
2,7,Márcio Beat Water remix - Márcio Beats,"@melanoo.fr, fyp, xybca, tyla",alyzz_e,357300,417,54300,3269
2,10,original sound - Jack Doherty,jackdoherty,jackdoherty,23600,91,2160,41
2,11,Cha Cha by Zeddy Will - zeddy not will 🤠,,therushgirls,11200,0,1376,22
2,15,original sound - kayli,,kaylibyrne,2,0,0,0
2,17,cry - favsoundds,,asher.lara,77400,1335,6785,149
2,18,Pull up challenge Bryansanon mr 217 - Bryansanon,,infamous_wu13,55300,1987,4966,97
2,21,♡ ᶫᵒᵛᵉᵧₒᵤ ♡ - SoBerBoi,"fy, humor, fyp",thaisslinares,553100,8135,23700,2139
2,22,original sound - Anna Kat,"tvshow, tiktok, fyp",tkdyorio,345000,972,28900,384
2,24,nhạc nền - Momoland,,ohikio1,726200,15700,144000,42600
2,28,original sound - 🌸Nasher>3 D🌸,"nevadaaa, asher, nevadaandasher, @nevaaadaa, @asher.lara",nasher_4_forever,31800,308,5157,132
3,2,original sound - Lala,"@sari_sadi, brother, makeup, siblings, foryou",lala_sadii,140700,818,8418,228
3,3,Funny Song - Funny Song Studio & Sounds Reel,,infamous_wu13,186100,4361,24200,379
3,7,original sound - dudah rocha,"grwm, getreadywithme, arrumesecomigo, mearrumando, grwmatrasada, grwmfesta, arrumesecomigoparasair",dudarocc,778900,4408,35600,1214
3,14,original sound - bia herrero,@emiliopluss,biaherrero,187700,247,5660,271
3,15,original sound - Lucas and Marcus,,dobretwins,154900,825,11900,251
3,16,som original - Pastora e Família,,pastoraefamilia,85500,1522,7763,817
3,17,som original - mih,"fyyy, cabelocacheado, franjacacheada, salonline, cachos",eu_secreto0,54900,1834,3175,128
3,19,som original - Rê Andrade,"makediaadia, educacaoinfantil, telasparacrian%C3%A7as",reandradeofc,237800,3594,11000,902
3,21,Witch Familiar (Classical) [Classic](143628) - dice,"humor, fy, cristianostiktok, praia",thaisslinares,375200,1198,14400,835
3,23,original sound - K3 Sisters,"heathers, shutupheather, heather, bigfun, k3sb, k3sistersband, harrypotter, hogwarts, universalorlando",k3sistersband,99100,1048,9376,1132
3,24,som original - braz,,eaebraz,672300,1001,22300,1066
3,26,suara asli - DYREN,,venicewong4u,49100,1271,8194,182
4,1,original sound - Sundeep and Anand,"jobinterview, leader, interviewtips, leadership, chicken",sundeepandanand,105200,2726,8976,14600
4,3,Salsa Party 1 - Intermede Music,"vegas, lasvevas",immarcomurillo,742100,8787,40600,51600
4,6,original sound - TizzyEnt,,tizzyent,192000,11200,6389,15800
4,7,original sound - Becca Bastos,"cardealership, car, salesman, sales, comedy, relatable, women, viral, fyp, pov, povs, carsalesman, sale",actressbecc,2200000,8652,117400,139400
4,9,original sound - Calvin Castiel,,calvincastiel,1500000,14000,86700,18900
4,10,"original sound - Dr. Brian Hoeflinger, MD","doctor, fyp, lifestyle",doctorhoeflinger,1200000,5755,50900,13000
4,11,Mysterious and sad BGM(1120058) - S and N,,tizzyent,216900,11400,12200,13700
4,12,original sound - Meghann Cuniff,"snitching, trontaviousstephens, thugger, youngthug, ysltrial, rico, legaltiktok, rap, hiphopculture",meghannmcuniff,715000,18000,49700,35500
4,13,original sound - Date Right Stuff,fyp,daterightstuff,522700,16200,23400,11600
4,15,sonido original - Ruben Tuesta,,rubentuestaok,692000,6939,45600,23000
4,17,original sound - haley 🎀,"joshallen, buffalobills, fyp, foru, bills, joshallenedit, nfl",haleyy.vfx,416400,2479,51100,2821
4,18,original sound - hiphop,"theweeknd, fyp, raptok, concert, popmusic, viralvideo",hiphop,462200,4738,38700,2026
4,20,"Suspense, quiet urgency, suspicion, investigation：L(1029430) - cowaii - Fear music encyclopedia","superbowl, 49ers, baltimoreravens, conspiracytiktok, leaks",grace.mitscherlich,67900,1849,6178,3979
4,21,original sound - Attorney Pish,"lawyer, law, facts, tips, learn",attorneypish,230400,14600,9601,3793
4,25,It is a long song with a strong mystery.(1041687) - syummacha,"lanadelrey, musicindustrysecrets, darkhollywood, scary, creepy",grace.mitscherlich,507600,7551,71800,5244
4,26,sonido original - yoamotijuana,@rousstj,yoamotijuana,136300,1514,24000,31500
4,28,original sound - Kadisha🕷️,"fyp, kattwilliams, christucker, jeffreyepstein",kadishalynnnn,200000,2437,20200,8212
1,0,original sound - rkempiree,,rkempiiree,218200,1607,22100,2290
1,1,original sound - Your girl,,bffrrrr123,0,0,0,0
1,4,original sound - Emily Lou,"fyp, foryoupage, viral, couple, comedy, daeandemily, @emilylou.xoxo",emilyylouu1,219900,830,22600,1628
1,6,sunet original - Leo Messi🇦🇷,messi,leomessi.reactions,20700,2166,2794,328
1,7,original sound - Butter Dawg,"cake, recipe, party, delicious, fyp, trending, viral, foryou",_butter_dawg_,71900,5047,8490,8312
1,10,original sound - luna.xx,"capcut, luna, lunaraides, lunaraidess, lunaradik, lunaf0ru, raidesluna, lunahoma, luna, raides",lunaf0ru,9766,490,1095,126
1,11,original sound - The Furrha Family,,thefurrhafamily_off,4856,6,405,27
2,3,som original - nalu,,eunalumoura,299300,3392,11900,428
2,6,romaneyael - songxz 🪐,"homaraidess%F0%9F%8C%B8, homaraidesforever, homm9k_raidesss, foryou",raides_homa92,133100,849,14400,915
2,7,original sound - Thelolpodcast,,thelolpodcast,77700,289,4928,826
2,9,original sound - The Pease Family,,thepeasefamily,231000,3510,8501,943
2,13,som original - FãClubedoEstevãoFilipe,,filipee_nunes,35200,282,4335,551
2,17,original sound - Kriss&Esme,"grwmroutine, grwmmakeup, texasweather, makeupgrwm, coldweather",krissleos,114500,3033,10300,141
2,19,som original - mih,"fyy, cabelocacheado, alisandocabelocacheado, fyyyyyyyyyyyyyyyy, cacheada",eu_secreto0,276400,3582,15800,817
2,20,original sound - @floxy..d,"tiktoktips, newtiktokers, tiktok, tiktokviral, fyp, fyp%E3%82%B7",floxy2540,59200,11100,3579,7479
2,23,"Funny video ""Carmen Prelude"" Arranging weakness(836530) - yo suzuki(akisai)","tattoo, tattoos, tattooartist, tattootiktok, failvideos",getinkadmin,4309,6,31,12
2,24,Very Sad - Enchan,"kid, attacked, wifi, fy, fyp, videoviral, video, fypage, sad, fypdonggg, wifipassword",videos7240,398000,7256,45000,9885
2,25,original sound - Qui Renea,"foryou, fyp",quirenea,49400,282,3965,808
3,0,original sound - gabriella_saraivah,chiquititas,gabriella_saraivah,535900,3963,26300,901
3,1,som original - napolitano,,millenosa,43200,327,3534,120
3,4,"Married Life (From ""Up"") - Geek Music",,el_dandino,407900,634,19500,3292
3,5,original sound - homa9k,"fyp%E3%82%B7, loveyou, stitch, homa9k, everyone, foryou, cute",yury9ger,19500,122,1185,109
3,7,som original - leo furlanetto,"dueto, chillikit",francinyehlke,723900,1958,26500,1051
3,8,som original - FãClubedoEstevãoFilipe,,filipee_nunes,32900,561,3469,373
3,11,original sound - Factual Facts,"100kviews, tiktoklive, tiktokusa, tiktokcreator, tiktokcreator",interesting_fun_facts_,25400,96,1572,100
3,12,original sound - Kriss&Esme,"grwmroutine, getreadywithme, grwm, grwmforschool, makeupchallenge",krissleos,211500,1204,17500,213
3,15,original sound - ❦,@ijustwannafeelaliveb,nahbruhdascrazy,24,2,3,0
3,16,original sound - ❤𝓔𝓿𝓮𝓵𝔂𝓷🖤,"homaraidess%F0%9F%8C%B8, myedit, capcut, newedit, jessy, new, biphouse, mrboom, batyrwhite, tomi, homaraidess, homa, ship, raidess, jessyraides, viraltiktok, viral, viral_video, hello2024year, luna",kika.kim662,1343,7,120,9
3,17,original sound - KEEMOKAZI,,keemokazi,154200,845,10800,216
3,18,Best Part (feat. H.E.R.) - Daniel Caesar,fyp,thesketchxfetch,673400,2825,62900,9288
3,20,som original - FãclubeEstevãoeGabriel,,amoestevaoegabriel,22500,159,3124,762
3,21,original sound - nessaabarrett,"aelfriceden, aelfricedenfamily, outfit, ootd, aelfricedenkee",nessaabarrett135,10800,62,819,37
3,24,som original - Meninadamanga,,meninadamanga_,100800,454,3252,251
3,26,another love - ✨️,elvisbugalu,elvis_bugalu,72200,625,5382,629
3,27,som original - Tia Má,,coiseirasdamarcela,118200,1959,9699,1805
4,0,Monkeys Spinning Monkeys - Kevin MacLeod & Kevin The Monkey,"cornwithslime, fyp, fypage, trending, tiktok, tiktoker, new, viral, drama, giveaways, gift, free, explore, slime, satisfy",cornwithslime.fun,18800,2745,2601,827
4,2,original sound - Kira Kosarin,@emlyn_music,kirakosarin,233100,613,16500,424
4,5,original sound - nurse.johnn,"@ryse_fuel, nursejohnn, nurselife, nursesoftiktok, nursehumor, nursetok, nurseproblems, nursing, nursingstudent, nursingschool, healthcareworker, healthcarehumor, hospitallife, hospitaltiktoks, medicalhumor, medicaltiktok, fyp, foryou",nurse.johnn,705700,2372,26200,12500
4,6,Monkeys Spinning Monkeys - Kevin MacLeod & Kevin The Monkey,,infamous_wu13,57200,387,4972,60
4,8,merrily we fall prodbyraesam - deluluestduo,"merrilywefalloutofline, merrilywefall, dance, momanddaughter, momsoftiktok, momanddaughterduo",tinaandcidrina,16300,1677,2393,100
4,9,original sound - Cuhvoo,"roblox, bladeball",cuhvoo,24500,248,4574,42
4,11,original sound - ✨Kay and Tay✨,"kayandtayofficial, couples, relationships, pregnant, postpartum",kayandtayofficial,796100,2194,46300,884
