batch,index,music,hashtag,author,likes,comments,shares,saves
1,0,original sound - active <3,fyp%E3%82%B7,tina_042,344300,4087,18900,943
1,1,sunet original - Victor drx99,"makeup, lipgloss, bigfamily, notenoughnelsons, nenfam, viral, paisleenelson",notenoughnelsonsofficial,222400,2216,16100,657
1,2,original sound - Zander Silva,"capcut, fyp, fyppppppppppppppppppppppp, fyppp, fyp%E3%82%B7, fypage, fyp%E3%82%B7%E3%82%9Aviral, fypage, fyp%E3%82%B7%E3%82%9Aviral, foryoupage, funnyvideos%F0%9F%98%82%F0%9F%98%82%F0%9F%98%82, funnyvideos%F0%9F%98%82%F0%9F%98%82%F0%9F%98%82, funnytiktok",funnny_for_you,1100000,12400,187900,79800
1,3,Dream Away - Ramol,rottweiler,nala_the_needy_rottie,2000000,28800,142200,12300
1,4,World A Music - Ini Kamoze,,coral_rafa,6200000,93000,359200,126500
1,5,original sound - AGGAYUCITA<3,,aggayucita,2200000,16900,249300,42900
1,6,original sound - CURRENT TAPPER😂,"@iampodoski1, fyp, goviralgo, therealemipato, funnyvideo, tiktokindia, tappingcurrent, trend, fypage, funnyvideos",therealemipato__,24200,63,1563,139
1,7,real - blizz △,"runningaway, vent, mentalhealth, mentalhealthawareness, mentalhealthmatters, recovery, mentallyunstable, emotionaldamage, emotionallyunstable, emotionallyunavailaible, runningawayfromhome, fy, fyp, fyp%E3%82%B7",stellisaurus,523000,1613,63400,1237
1,8,original sound - Chrisrvideos,"foryourpage, fyp, fyp, viral, meme, comedy, humor, viral, pati",chrisrvideos_,578900,2724,15100,5353
1,9,original sound - nurse.johnn,"nursejohnn, nurselife, nursesoftiktok, nursehumor, nursetok, nurseproblems, nursing, nursingstudent, nursingschool, healthcareworker, healthcarehumor, hospitallife, hospitaltiktoks, medicalhumor, medicaltiktok, fyp, foryou",nurse.johnn,3400000,8393,181100,43000
1,10,original sound - KC,"northwest, kimkardashian, kardashians, fyp",kardahiansclips,1600000,6770,69200,11700
1,11,YourRage sound - Dominator❤️✝️,"couplecomedy, couple, couplegoals, quincieandzach",quincieandzach,375900,1595,28200,19900
2,0,original sound - active <3,fyp%E3%82%B7,tina_042,344300,4087,18900,943
2,1,sunet original - Victor drx99,"makeup, lipgloss, bigfamily, notenoughnelsons, nenfam, viral, paisleenelson",notenoughnelsonsofficial,222400,2216,16100,657
2,2,original sound - Zander Silva,"capcut, fyp, fyppppppppppppppppppppppp, fyppp, fyp%E3%82%B7, fypage, fyp%E3%82%B7%E3%82%9Aviral, fypage, fyp%E3%82%B7%E3%82%9Aviral, foryoupage, funnyvideos%F0%9F%98%82%F0%9F%98%82%F0%9F%98%82, funnyvideos%F0%9F%98%82%F0%9F%98%82%F0%9F%98%82, funnytiktok",funnny_for_you,1100000,12400,187900,79800
2,3,Dream Away - Ramol,rottweiler,nala_the_needy_rottie,2000000,28800,142200,12300
