batch,index,music,hashtag,author,likes,comments,shares,saves
1,7,som original - Leidy Musa,,leidy_musa,149000,1332,8599,3812
2,1,Asn - thsituan._.,,ccabots,204600,4762,126000,3849
2,3,Fireball Challenge - 🕺🏼Hoodie fam🌏,,yinarose,160200,844,5556,235
2,4,09.08 lançamento - Meno Felps,"funny, fitcheckmeme",lilyungtoaster,311500,1792,40500,8119
2,5,original sound - Ian Asher,,di1araa.s,267700,1225,25300,1607
2,6,som original - ₊˚ Ｍ ａ ｈ⚡️,,knz.07_,2000000,5284,183200,41700
2,7,fukumean (chopped 'n screwed) - Gunna,@booty.santa,elaframe,6204,155,822,16
2,8,Suara Seram Sangat Mencekam - Kholil Buitenzorg,"factsyoudidntknow, facts, satisfying, satisfyingvideo, learnontiktok, learn, satisfyingvideos",real.insane.videos,12200,8006,2739,31800
2,16,original sound - Seventhu,"fyp, foryou, viral, trending, chrizzhall",chrizzhall,2000000,34100,166700,71100
2,19,original sound - tomas.coach,,tomas.coach,58900,153,7207,2195
2,20,original sound - Nazhoni:),"@lexxeatsdinonuggies, @jaxon_ackerley, fyp",nazhoni_17,144400,242,6871,432
2,22,original sound - AGGAYUCITA<3,,aggayucita,2200000,17000,249500,43100
2,23,original sound - Jack Doherty,"@mckinleyrichardson, @ashleyroseclips, jackdoherty",jackdoherty,37100,648,2714,83
3,3,original sound - Emilio,"mechanic, mechaniclife, diy",el3milio1,102300,1027,7055,9863
3,5,original sound - THE WEEKND,"longotoyota, toyotatacoma, toyotatruck, trucktok, newcar, trdoffroad, 4x4, offroading, trd, toyota4x4",longotoyotala,19400,302,1343,2117
3,6,original sound - LexusofConcord,"lexus, lexususa, lexusofconcord",lexusofconcord,2448,14,126,18
3,10,Originalton - BimmerWorldBrothers,"cockpitred, toyota, tundra, trdpro, 4x4, newtruck, newcartour, sanantonio, texas, toyotatundra, tundratrdpro, redgutz, cavendertoyota, magneticgray, ridgegrapplers, trucktiktok, trucktour",adamcavtoy,9104,85,625,825
3,12,sunet original - Mihai,"fy, fyp%E3%82%B7%E3%82%9Aviral, patrol, vitara4x4, pasiune%E2%9D%A4%EF%B8%8F%E2%9D%A4%EF%B8%8F%F0%9F%92%AA, zapada%E2%9D%84%EF%B8%8F, fypage, fyp%E3%82%B7, fyppppppppppppppppppppppp, camp, top, suzucki, forta, munte, offroad, topgunmode, waw, padure, nisan, toyota",mihaitaflorin12,19000,41,1242,545
3,13,original sound - Lexus of Memphis,"lexus, lexusgx, lexusgx550, lexusofmemphis, lexusdiscoverus",lexusofmemphis,3133,51,164,172
3,15,Perfect x Cola by ALTÉGO - ALTÉGO,"toyotatundra2024, tundra2024, toyotatundra, trdpro, tundra, toyota, carsales, trucksoftiktok",hanselautogroup,7199,288,553,1343
1,1,original sound - RANGO TENGE TENGE 🇺🇬,@rangotengetenge,noelgoescrazy,13000000,123400,933500,267100
1,3,my audio is famous - Yoseph,"couples, heightdifference, tallguys, shortgirls, holidaypartyoutfit, couplesfits",ashlyn_bischoff,850500,4760,46200,9587
1,4,Aesthetic - Tollan Kim,"petsimulator99, roblox, petsimx, fyp",nocware,4469,437,512,34
1,7,original sound - Shikha Patel,"gym, powerlifting, powerlifter, longtorso, shortlegs, fyp%E3%82%B7, fypage, chch, nz, funny, joke, fyp%E3%82%B7%E3%82%9Aviral",lisatran219,317700,463,7203,1180
1,9,original sound - mabu😇,"drake, lilmabu, rap, fyp%E3%82%B7",lilmabu,1100000,3515,59900,2121
1,11,original sound - Julia,"butterflies, advice",advicewithdavid,104700,945,21000,3125
