batch,index,music,hashtag,author,likes,comments,shares,saves
1,0,original sound - YahneOfficialASMRBarbie,"facecard, asmrbarbie, asmr, asmrglue",yahneofficial,2700000,6186,137500,14400
1,1,original sound - Gavin.kernstinee,igmirandahhmarie,mirandahshaul,412000,1841,45000,7215
1,2,original sound - KEEMOKAZI,onthisday,keemokazi,297900,1695,31300,1012
1,3,som original - MoriMura🍕,,morimura,2100000,10300,152300,13100
1,4,Candyman (Ultimix Mixshow) - Christina Aguilera,"fyp, nflfootball, chiefs",thosereallycoolbffs,4400000,43700,668000,121600
1,5,original sound - 🫶LANDREW FOR LIFE🫶👈,"foryou, fyp, landrew, ampworld, piersonwodzynski, pierson, mrbeast, dombrack, benazelart, ampworldnews, andrewdavila, lexirivera, airrack, preston, unspeakable, brentrivera, lexihensler, stoketwins, jeremyhutchins, amp, funny, likes, 100k, love, truelove, true, landrews, landrew, tiktok, chrismas, grwm, grwm, trendy, roblox, fazerug, pierson, lexirivera, lexi, andrew, andrewdavila, youtube, tiktok, youtubers, influencer, instagram, influencers, bexi, sad, ship, usa, huntigtonbeach, edit, alexa, andrew, love, cute, trend, nastya, likenastya, 300m, youtube, sped, audio",ampworld_editzzz,12700,172,2230,135
1,6,Sparks - Coldplay,"fyp, puppy, trending, newdog",autumnnmonique,544700,6657,53200,11400
1,7,Ick - Alt Ending - Lay Bankz,,sneha.v,68200,331,7127,64
2,0,original sound - qouk_ka,"fyp, foryou, couple, couplegoals, relatable, couplecomedy, funny, humor, relationships, relationshipgoals, marriage, husbandwife, marriagehumor, trending, viral, love, mollyandjordy, xybca, fyp%E3%82%B7",mollyandjordy,147100,205,8118,4286
2,1,Tacata - Tiagz,@thedombrack,andrew.davila,182100,1936,13100,557
2,2,original sound - Roosevelt VeltBoy Ha,,jadenrabago,40100,182,3938,1733
2,3,Self Esteem - #1 HIT - Kisses for Me - Lambo4oe,"kiss, bf, valentinesday, hoodie, %E2%9D%A4%EF%B8%8F",kluska.oki,880900,12200,137000,27600
2,4,dc fefezete - Maria Fefe,,emillyvickof,252600,5014,17100,1923
2,5,suara asli - 𝐌𝐢𝐧𝐞. - 𝟑𝟎𝟑 𝐌𝐢𝐧𝐞.,"@boy_cute_china_yl, boy_cute_china, boy_cute_china_yl, fyp, chineseboy, douyinboy, douyin%E6%8A%96%E9%9F%B3, tiktokchina, yeonlunc, yl_fan_boy_china%F0%9F%87%A8%F0%9F%87%B3",boy_cute_china,342700,2382,34600,3231
2,6,som original - MoriMura🍕,,morimura,2200000,13200,176800,16500
2,7,Чупки в кръста - Fiki,,omari.to,326300,1918,18000,806
2,8,original sound - jeanmegan06 - Number 8,,jeanmegan06,319800,3985,66800,31100
2,9,original sound - vicmram,"@itgirl_, @smeggsygrape",barstoolsports,29100,146,2982,226
2,10,sweet caroline but dark academia - fingerbib,"fyp, moonball, satisfying, tiktokmademebuyit, fidgettoys",leagionofrobots,675900,28700,34900,2717
2,11,nhạc nền - Seven-我是Eight🌔✨,"xuhuong, tiktokawardsvn2023, yolohouse, mcseven, djxiaogongzi, %E8%82%96%E5%85%AC%E5%AD%90, viral",seven260801,3900000,18200,341100,21300
2,12,original sound - Hoops Nation | Sports,,hoopsnation,60400,758,10900,863
2,13,original sound - spo6kzie,,northstarboys,37400,250,3920,122
2,14,original sound - Toons Tunes,dc,hubert.gromadzki,2800000,16700,149000,84300
2,15,sonido original - _amix1632,"capcut, @ariancita._.oficial, @lamartinitasiemprehappy, @artamios",_amix1632,92400,1176,16200,751
2,16,sonido original - Paula,"aviation, flightattendant, aviationlovers, cabincrew, fyp%E3%82%B7",paula_cdtc,2300000,6699,130800,13900
2,17,original sound - KEEMOKAZI,,keemokazi,371100,1250,24800,259
2,18,Rather Be Clean Bandit x Jess Glynne Sped Up - Stan :),,skyyjade,42100,1469,3736,142
2,19,оригинальный звук - ㅤㅤㅤㅤㅤㅤㅤ,"@showtimebaba, @yohan_lbt, diamantblazi, seckoff, fyp, foryou, dunk, bball, basketball, trio, challenge, viral, trend, florida, usa, floridabasketball, usabasketball",diamantblazi,2000000,9627,148500,8928
2,20,som original - Gabi Gagliassi,"tiktokesportes, voleibol, voleibrasil",gabigagliassi,287700,433,8683,369
3,0,original sound - Autumn Monique,"@rosyshopkin5, viral, stitchsquad, foryoupage",autumnohana,34700,4605,3413,106
3,1,som original - Keira,,keirariff,2300000,17300,154800,27100
3,2,original sound - neffatibrothers,relatable,neffatibrothers,13700,59,465,52
3,3,original sound - NSB,"moyarmy7, northstarboys, nsb",the.northstar.boys,2991,40,246,2
3,4,Out of My League - Fitz and The Tantrums,,tashh02,160300,251,5414,256
