batch,index,music,hashtag,author,likes,comments,shares,saves
1,0,son original - 💐𝐵🪐,,brookemonk_,3500000,6249,163400,8348
1,1,I Wouldnt Mind - ♱,"christiantiktok, christianhumor, christianjokes, christiancomedy, christian, christianitytiktok, godisgood, jesussaves, jesusislord",dangmattsmith,163700,2906,21200,687
1,2,som original - Gustavo Bonfim,tutorial,gus_bonfim,539900,1291,112600,3800
1,3,som original - Raphaela Diniz,"vaiprofycaramba, viral, fyp%E3%82%B7",raphaela_diniz,370900,2633,20400,773
1,4,Suara Seram Sangat Mencekam - Kholil Buitenzorg,"randomfacts, facts, curiosity, knowledge, didyouknow, learnontiktok",__.random.facts.___,2974,3118,550,10300
1,5,som original - Andcarli,,andcarli,847400,4301,82400,2084
1,6,original sound - ingrambates,,ingramaudie,2700000,14600,188100,27800
1,7,original sound - bio,"everythingclinton, realclintianoo",everythingclinton,3176,1230,191,36
1,8,Gucci Flip Flops - user73494582901,,secretst0n3r,1300000,7451,88600,5105
1,9,original sound - laughFlix,"foryou, fyp, viral, movie, tv, film, xyzbca, game, storytime, dharmann",moviemirth,363000,1802,33900,771
2,0,original sound - Bleade,,brookemonk_,358200,876,35800,812
2,1,original sound - Vozol,vozol,vozol_official,598400,16600,54100,24700
2,2,original sound - lol yea.,,jaden.traub001,28000,151,2132,95
2,3,Only hot people like this sound - Maria 💋,"@sunkiescro, sunkiescro, emsbears%F0%9F%8E%80%F0%9F%A7%81, xyzbca%F0%9F%92%90%F0%9F%8C%B8, @mearsmelio",sunkiescro,479,123,53,44
2,4,original sound - The Relationship Hub,,rebeccazamolo,164500,1332,8489,326
2,5,Scooby Doo Pa Pa - Los Lumaquinos Alegres,"preenchimentolabial, biglipshack, hacks, makeup",polukag,438500,3665,37200,2984
2,6,som original - Raphaela Diniz,"vaiprofycaramba, viral, fyp%E3%82%B7",raphaela_diniz,487300,2533,27200,869
2,7,original sound - pm,"neelajolene, dharmann, filter",theneelajolenee,391300,23800,29200,300
2,8,original sound - JAYLLNN,coffee,realjayllnn,322200,4005,16000,5052
2,9,birfday - bee ˘͈ᵕ˘͈,fyp,kaylamalecc,330100,5397,14800,225
2,10,original sound - mabu😇,"drake, lilmabu, rap, fyp%E3%82%B7",lilmabu,1100000,3519,59900,2121
2,11,original sound - Isaac & Andrea,,isaacandandrea25,51900,38,2450,85
2,12,الصوت الأصلي - fadi_yassen,"fyp, transition, mksvision",mks.vision,12700,69,731,69
2,13,original sound - Tammylouiseee,"safe, hotel, mirrors, fyp, genius, viral, foryoupage, tiktok, lunch, hacks, dinner, hacksoflife, cookinghacks, foodcontent, foryourpage, foodlovers, foryou",tammylouiseee,582800,18700,141400,54200
2,14,Candyman (Ultimix Mixshow) - Christina Aguilera,"fyp, foryou, @flemkristine",eliseesaebones,225200,1890,19000,6959
2,15,original sound - spo6kzie,"rupee7ft2baller, foryoupage, rizz, college",rupeekolawole,1200000,11100,76800,12100
2,16,original sound - Cassidy Huff,"fyp, disability, foryou, disabled, mercedes, trend, tiktok, viral, accessibility, activism, prosthesis, hardofhearing, prosthetic, blind, lowvision, wheelchair, wheelchairuser, mobility, mobilityaid, deaf, hearingaid",casshuff,4500000,16000,296600,148500
2,17,original sound - Lola Winters 🎀,,itz_justlola,231300,690,13300,168
2,18,original sound - Didios,"random, facts, shocking",didiios,3968,1555,508,1500
2,19,original sound - laughFlix,"foryou, fyp, viral, movie, tv, film, xyzbca, game, storytime, dharmann",moviemirth,287300,2739,34900,797
2,20,what was I made for? - Instrumental - Wheeler,"@raebellah, @tiktok, acnefighter",daisyycbj,4700000,73100,205200,91800
2,21,som original - ☠️,"motomoto, escolapublica, cirilaemariojoaquino",dud4zz67,1100000,3474,62400,2531
