batch,index,music,hashtag,author,likes,comments,shares,saves
1,3,Ick - Alt Ending - Lay Bankz,,blondielovesballs,13500,604,21300,301
1,5,original sound - Roonie King,capcut,roonieking73123,10,0,11,0
1,6,original sound - Kenayo Frederick,"fyp, fu, freesaucegod, highlightertutorial",nhlfreesaucegod,281200,1685,106500,4473
1,7,original sound - Dayquan & Arianna,"prankonboyfriend, piercingprank, fakenippiercing",dayandari,219900,642,14900,969
1,8,original sound - Kelly & Kody,"comedy, relationship, couple, funnyvideos, foryou",positravelty,1200000,22100,116000,262800
1,9,All I want for Christmas sped up - Stan :),"sunnyvr, snowvr, viral, fyp",official.jaxo_vr,187100,1074,39700,12000
2,0,original sound - Camilla Araujo,"interview, publicinterview, minivlog, fyp",camillaara.backup,35800,190,7323,220
2,1,original sound - allison,fyp,redhairgorl,151400,859,29400,2208
2,4,original sound - Cool Grandpa👴🏼,"grandpa, joke, fypisbroken, comedy, jokes, relatable, fyp%E3%82%B7%E3%82%9Aviral, funny, school, nap",theverycoolgrandpa,4400000,36300,483600,66800
2,5,original sound - kahu,"foryou, fyp, funny, tiktok, movie, %F0%9F%98%82%F0%9F%98%82%F0%9F%98%82",tkdsbpnanzn,62300,204,5543,293
2,7,original sound - riley !!,"@lashedchars, lashedchars, fanpage, foryou, fyp, viral, actives",lashedchars,637,195,186,9
2,10,original sound - mckinley richardson,@ashlleyxrose,mckinleyrichardson,17500,185,4062,31
2,13,Meow - Dust☆,"@scarathecutie, voiceover, voiceovers, elsa, elsafrozen, anna, annafrozen, frozen, frozenmovie, frozenmoment, frozenmoments, frozenelsa, frozenanna, elsaandanna, annaandelisa, frozenelsaandanna, arendelle, disney, disneymovies, disneymovie, disnevplus, disneyanimation, disneyplus, disneyfrozen, princessanna, queenelsa, princehans, hans, princehansofthesouthernisles, hansofthesouthernisles",risottosimp3000_3.0,48300,1146,10100,2045
2,15,nhạc nền - Comedy’s usa,,meme_usa13,809300,7253,61000,59500
2,16,original sound - xclusive.diagoo,"fyp, dogmom",ceyanidanae,4000000,22200,260300,104300
2,17,Think u the shi b you not even the fart - Songs4u.16,,icespicee,527700,10800,27300,1662
2,18,original sound - Paul Olima,"Flying, Plane, Airports, @svengudvunsun, @meettheharrisons, @emilyfayemiller",olima_omega,211000,1494,17100,3736
2,19,som original - lalarinha,,breckiehill,75700,1202,87300,814
2,23,original sound - vicmram,,lelasohna,35500,144,9846,279
2,26,original sound - silver,,doylldonmagar1,38,2,37,0
3,1,original sound - nyla/aralyn,"@nylaaralynlive, trd, roblox, totalrobloxdrama, xyzabc, fyp, viral",nyla.aralyn,11500,234,1537,17
3,2,Dance You Outta My Head - Cat Janice,duet,b.e.n_rl,16500,242,1149,111
3,3,original sound - mizura_jesica,"povs, pov, satisfying, funny, craft, usa, foryou, diy",mizura_jesica,29700,10100,9802,1563
3,6,original sound - riley mae,"interview, streetinterview, tiktokchallenge, challenge, viralchallenge",rileymae,5701,42,558,37
3,8,original sound - Paul Vu,,paulvutv,19300,109,2363,335
3,9,original sound - 🦧TIKKI❤️,"oculusquest2, vr, fyp, virtualreality, likess, blowthisup, share, viral",tikki_vr,29200,5875,7241,1768
3,11,original sound - Alex,,vaynessvalery,246500,846,42900,6419
3,14,It's Not so Bad - Cummrs,recovery,paulieepaull,674800,16500,56800,1307
3,15,original sound - Lustra Clear,"randomfacts, satisfyingvideos, viral, fyp",lustraclear,261800,52400,32100,157500
3,17,original sound - Sierra Larson,"fyp, fypage, trendy, romantoolit, thanksgiving",theonlyromantoolit,98500,667,16700,363
3,18,original sound - trevy59,,trevy590,135,9,28,2
3,21,الصوت الأصلي - ديري,"trending, fyp, funny, funnyvideo",_funny.official,3087,13,213,41
3,23,original sound - JSCM_movies,"movies, foryou, movie, movieclips, fyp",jscm_movies6,602700,20000,117800,13300
3,24,الصوت الأصلي - ديري,"fyp, trending, funnyvideo, funny",_respect.official,3442,25,787,270
3,26,original sound - 𝚂𝙿𝙾𝚃𝙸𝙵𝚈 🎧🎶,"gorillatag, followback, 40k",comet_vr,2649,956,671,110
3,27,original sound - pocketretro4,"@mxm_minexmixe, fyp, 90s, gaming, nostalgia, retro, retrogaming, christmas, tiktokmademebuyi",pocketretro4,7552,2827,1373,85
4,0,Hard News - DM Production,"patrickmahomes, chiefs, taylorswift, swifties, riristea, rivetsoro",riristea,217200,304,5025,253
4,4,เสียงต้นฉบับ - nad♡inem - 𓇼,bracelettutorial,yarnivora,2100000,4005,897800,35700
4,5,original sound - Attorney Pish,"lawyer, law, facts, tips, learn",attorneypish,233200,14700,9834,3832
4,6,original sound - Football Clips 🔥,"patrickmahomes, chiefs, superbowl",atfootballclips,447700,1738,21600,3145
4,8,original sound - OwnersBox,"nfl, superbowl, chiefs, 49ers",ownersbox,632900,13400,139800,12300
4,9,som original - Royal News Channel,,royalnewschannel,68100,2103,5465,1414
4,11,sonido original - Carlos Diaz.,"vicentefernandez, unaztecaenelazteca",carlos.dyaz,107000,629,7484,17400
4,15,sonido original - 🕊️ Wawacon 🕊️,"greenscreen, operativogavilan",wawacomfamily,1198,199,68,59
4,16,original sound - haley <3,"bills, buffalobills, joshallen, stefondiggs, fyp, nfl, foru",haleyy.vfx,102200,1338,8048,202
4,20,"Painful, crying piano music with ambient sounds(1292263) - syummacha","truecrime, gypsyrose, gypsyroseblanchard, truecrimecommunity, truecrimeallthetime, crimetok, foryou",crimetimeteatimewithbree,124700,917,6037,871
4,21,Salsa Party 1 - Intermede Music,"vegas, lasvevas",immarcomurillo,744500,8821,40700,51700
4,23,original sound - Posterised,"jayz, rap, hiphop, raptok, rapper, @lolnetwork",boardroom,471500,2080,19800,3420
4,27,MGK freestyle whos in my top ten machine gun kelly - mgkmagic,"machinegunkelly, mgk, colsonbaker",mgkmagic,30700,401,3338,1233
4,28,sonido original - Chava Pichardo,"toyotahilux, toyota22r, offroad, 4x4, todoterreno, viral",chavapichardoof,47500,502,3031,1234
1,0,Epic Inspiration - DM Production,,graciebonr,180400,6060,91000,19800
1,1,استعملو الصوت جعلني افداكم - Ah,@gpalase,ike_ike_0,578500,253800,179700,157500
1,2,Ick - Alt Ending - Lay Bankz,,blondielovesballs,13500,604,21300,301
1,3,Following just the New tiktoker - TikTok Queen🇧🇪 🇮🇹,"empress_d, empress_dor, fyp, fyp%E3%82%B7%E3%82%9Aviral, foryou",empress_dor,10700,17100,3495,3493
1,5,original sound - deleterae,"@deleterae, selideleterae, fanpage, foryou, fyp, viral",deleterae,767,247,188,28
1,8,Hahahaha again - Kelsey🪖💐,"like, follow, share, comment",shelbyacat,307400,1256,53100,4041
2,0,original sound - lotus,"lotus, lotuscars",lotusnorthjersey,53200,817,3887,336
2,1,original sound - torross.crafted,"leatherasmr, leathercraft",torross.crafted,4300000,26400,278500,42200
2,3,original sound - SpotifySongs,"foryoupage, fyp, xyzbca, viral, trending, fyp",absolutehumanbeing,101800,11200,17000,6161
2,4,sonido original - T Í O M O O K U N A ☑️,"@jjdmariangutierre, viral, paratii, foryou, corazonesazules%F0%9F%92%99, fernandopowel, corazonesrosas%F0%9F%92%95%F0%9F%92%95%F0%9F%92%95, blueboys%F0%9F%92%99, fondorosa%F0%9F%92%96%F0%9F%92%95%F0%9F%91%92%F0%9F%91%9C%F0%9F%91%A1, fondorosa, fondorosita, fondoazul, parati",fernando.powel,103600,71700,31800,6334
2,5,original sound - The Retro Pixel,@anush.prasai,the.retro.pixel,7483,580,772,20
2,6,original sound - Vozol,vozol,vozol_official,598300,16600,54100,24700
2,7,son original - Asn_,@alizewdahmed,ike_ike_0,430400,187300,119700,165700
2,9,Love You So - The King Khan & BBQ Show,"viral, valentinesday, fyp, boyfriend",andrea.lopez44,188100,597,14300,4251
2,10,original sound - FTBL_G.A.O.T🐐,,tiktok.followers313,41600,28200,3522,25200
2,11,original sound - Barbienjd_,"gymfit, barbienjd_%D8%A8%D8%A7%D8%B1%D8%A8%D9%8A_%D9%86%D8%AC%D8%AF, fyp%E3%82%B7, barbienjd_, %D8%A8%D8%A7%D8%B1%D8%A8%D9%8A_%D9%86%D8%AC%D8%AF",barbienjd_,7111,34,839,87
2,13,TEACH ME HOW TO DRILL - Lil Mabu & Fivio Foreign,"lilmabu, fivioforeign, hood, viral, nerd",lilmabu,2400000,9294,146700,16300
2,14,original sound - I LOVE JESUS♥,"christmas2024, merrychristmas, jesusname, lordamen, happybirthday, thankgod, jesuschrist, america",usa.jesusloveyou,404700,47600,42300,53700
2,17,Thank you to my ma - postinghellcatt,"tall, family",marietemara4.0,100900,2424,5403,990
2,19,original sound - Owen Lynch,,hahowen,156300,7035,19400,749
2,22,original sound - lara rose,"fyp, skit",littleprincesspoppyy,24300,82,2324,68
2,26,09.08 lançamento - Meno Felps,,notburnttoasthehe,220100,3081,26300,2979
2,27,Suara Seram Sangat Mencekam - Kholil Buitenzorg,"randomfacts, facts, curiosity, knowledge, didyouknow, learnontiktok",__.random.facts.___,14100,17200,2260,9077
3,0,son original - Romain,"fyp, viral, rizz",romain.dgv,38800,141,2611,86
3,1,Originalton - messy tea,"dancemoms, hair, aldc, fyp, fyp%E3%82%B7, funny",messy.tea,275900,1301,22500,569
3,3,original sound - ren ( fan acc ),"capcut, @ptsmash, @okdunkz, @hubxmango, @ae.bases, @pedqrx, @7hanel, @.dilaurentisfx, _edits_tik_fp, edit, _edits_tik_, template, velocity, aftereffects, ae, charlidamelio",.edits_tikfp,99700,1544,46700,430
3,4,Use my sound - jojo,shorts,dre_da_dancer,14400,35,869,12
3,5,original sound - riley mae,"loyaltytest, streetinterview, interview",rileymae,17500,109,1584,50
3,6,original sound - ❥ 🇪🇸◟خويلد ؟,"pianogirl, pianoteacher, biden, prettybabe",torypiex,184200,1370,24900,1522
3,7,Bongos (feat. Megan Thee Stallion) - Cardi B,"@sophieraiin, @summerxiriss",theaishahsofey,260300,1080,50900,1893
3,8,original sound - ingrambates,,ingramaudie,2700000,14600,188000,27800
3,10,original sound - Lo (Taylor’s Version),"fyp%E3%82%B7, respect%F0%9F%91%91, foryoupage%E2%9D%A4%EF%B8%8F%E2%9D%A4%EF%B8%8F%E2%9D%A4%EF%B8%8Fforyou%F0%9F%92%9E%F0%9F%92%9E%F0%9F%92%9Cviral%F0%9F%92%95foryou%F0%9F%92%98%F0%9F%92%9Ey, respect%F0%9F%A4%AF%F0%9F%A5%B6%F0%9F%98%B3%F0%9F%98%B1, respect%F0%9F%A4%AF%F0%9F%A4%AF%F0%9F%A4%AF",abdalrahmanbooom,904,11,98,5
3,13,original sound - Paul And Friends,,paulvufriends1,849200,15800,117400,6491
3,15,الصوت الأصلي - MR BLUE,"stitch, stitchlover, halloween, christmas, tiktok, foryou, explore, collectionstitch, stitchstuff, liloandstitch, stitchandangel, ohana, disney, edits, artdigital, edit",mr.blue.heart,66100,13500,6288,189
3,17,original sound - johnniibeanasmr,"@silkygem, asmr, asmrpov, pov, asmrdentist, dentistroleplay, asmrvideo",johnniibeanasmr,312900,3000,51800,2834
3,21,Hi Barbie Hi Ken Barbie Movie Only In Theaters - Barbie Movie,,marinollvvvv,37400,92,1118,80
3,22,original sound - ICE SPICE FAN,"@icespicee, icespice, icespicecult, icespiceperformance, scarlettour, icespiceisqueen, icespiceeedit, icespicefans, icespicefan, icespicebronx, trending",icespice_baddie1,78800,547,11900,699
3,23,summer walkerr - ★,,adore._payton,48,2,4,0
