batch,index,music,hashtag,author,likes,comments,shares,saves
1,0,original sound - Gavin.kernstinee,igmirandahhmarie,mirandahshaul,412200,1843,45000,7216
1,1,original sound - Lucas and Marcus,,dobretwins,352800,1915,26100,643
1,2,original sound - Nathan Legagnoux,"fyp%E3%82%B7%E3%82%9A, foryoupage, specialforces, soldier, military, militaryedit",nathan.legagnoux,625900,4821,173200,26000
1,3,Ick - Alt Ending - Lay Bankz,,blondielovesballs,13500,604,21300,301
1,4,original sound - eminem 😉 >>,"fit, fitness, fittok, fitcheck, outfit, outfitideas, lululemon, eminem, polishgirl, poland, polish",imcocolemonxoxo,68000,821,235500,512
1,5,original sound - Roonie King,capcut,roonieking73123,10,0,12,0
1,6,original sound - Kenayo Frederick,"fyp, fu, freesaucegod, highlightertutorial",nhlfreesaucegod,281200,1685,106500,4473
1,7,original sound - Dayquan & Arianna,"prankonboyfriend, piercingprank, fakenippiercing",dayandari,219900,642,14900,969
1,8,original sound - Kelly & Kody,"comedy, relationship, couple, funnyvideos, foryou",positravelty,1200000,22100,116000,262800
1,9,All I want for Christmas sped up - Stan :),"sunnyvr, snowvr, viral, fyp",official.jaxo_vr,187100,1074,39700,12000
2,0,original sound - Camilla Araujo,"interview, publicinterview, minivlog, fyp",camillaara.backup,35800,190,7324,220
2,1,original sound - allison,fyp,redhairgorl,151400,859,29400,2208
2,2,Like That Sped Up - Laila!,"@bareandneutral, ingrown",dermdoctor,367100,574,11700,2126
2,3,original sound - rxnplify,"wawa, fl, florida, fyp, foryou, viral, floridakids, fyppppppppppppppppppppppp, fypp, foryoupage, foryou, blowthisup, wawawarriors, floridaa, @brian.e25, @reeeef2, @munchacho1, @sean._.uzumaki",zachvanss,278600,5849,23900,3411
2,4,original sound - Cool Grandpa👴🏼,"grandpa, joke, fypisbroken, comedy, jokes, relatable, fyp%E3%82%B7%E3%82%9Aviral, funny, school, nap",theverycoolgrandpa,4400000,36300,483600,66800
2,5,original sound - kahu,"foryou, fyp, funny, tiktok, movie, %F0%9F%98%82%F0%9F%98%82%F0%9F%98%82",tkdsbpnanzn,62300,204,5544,293
2,6,Love Is Beautifully Painful (Ghost Duet Version) - Darkrose,"fyp, foryou, foryoupage, emotional, dad, son, trans, viral",dailytokky,392100,6856,51800,7214
2,7,original sound - riley !!,"@lashedchars, lashedchars, fanpage, foryou, fyp, viral, actives",lashedchars,637,195,187,9
2,8,original sound - Modeli,,smelimodeli,177800,888,49500,1104
2,9,original sound - Jay,,diamantblazi,18500,444,1946,264
2,10,original sound - mckinley richardson,@ashlleyxrose,mckinleyrichardson,17500,185,4063,31
2,11,Skyfall - Adele,"fyp, viral, spoiledbrat, destroyingphone",witch.hat.vr_,1688,131,241,16
2,12,Candyman (Ultimix Mixshow) - Christina Aguilera,,lexibrookerivera,2000000,16300,197300,18900
2,13,Meow - Dust☆,"@scarathecutie, voiceover, voiceovers, elsa, elsafrozen, anna, annafrozen, frozen, frozenmovie, frozenmoment, frozenmoments, frozenelsa, frozenanna, elsaandanna, annaandelisa, frozenelsaandanna, arendelle, disney, disneymovies, disneymovie, disnevplus, disneyanimation, disneyplus, disneyfrozen, princessanna, queenelsa, princehans, hans, princehansofthesouthernisles, hansofthesouthernisles",risottosimp3000_3.0,48300,1146,10100,2045
2,14,original sound - Mr. There it go,"snowboardinggirl, skiergirl, gondola",venessanutz,298900,1024,64000,4154
2,15,nhạc nền - Comedy’s usa,,meme_usa13,809300,7253,61000,59500
2,16,original sound - xclusive.diagoo,"fyp, dogmom",ceyanidanae,4000000,22200,260300,104300
2,17,Think u the shi b you not even the fart - Songs4u.16,,icespicee,527700,10800,27300,1662
